GROA order,GROA table,GROA field,GROA Description,-,ForC order,ForC table,ForC Column,ForC field,ForC Description,ForC Storage.Type,ForC Variable.Codes,ForC Units,-,Value to assign - value entered,Value to assign - missing values,manual.review.needed,Clarifications needed,notes,action needed,For_modificaition needed,
1,MEASUREMENTS,IPCC,?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,MEASUREMENTS,country,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
3,MEASUREMENTS,measurement.id,unique identifier per measurement,-,,,,,,,,,-,,,,-,not the same as ForC,create instructions,,
4,MEASUREMENTS,plot.id,unique identifier per plot,-,,,,,,,,,-,,,,-,not the same as ForC,create instructions,,
5,MEASUREMENTS,site.id,"unique identifier for each site, defined as a unique geolocation. This site.id differs from ForC site.id in that ForC will assign different site.IDs to the same geolocation if edaphic /biophysical condidtions differ.",-,,,,,,,,,-,,,,-,not the same as ForC,create instructions,,
6,MEASUREMENTS,study.id,unique identifier per publication,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,MEASUREMENTS,citations.title,full title from publication,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-
8,MEASUREMENTS,sites.sitename,,-,2,MEASUREMENTS,2 / B,sites.sitename,"Unique site identifier name for the site at which the measurement was made. Links to SITES, PLOTS and HISTORY tables. ",character (string),-,-,-,-,-,-,-,-,-,-,-
9,MEASUREMENTS,refor.type,"reforestation type or reference condition: SNR = Spontaneous natural regeneration, ANR = assisted natural regeneration, ITP = initial tree planting, DP = diverse species plantation, MP = monoculture plantation, TMC = intensive tree monocrop, MS = multistrata, TI = tree intercropping, SP = silvopastoral systems, TR = transitional, C = cropland (reference), PA = pasture (reference), OG = old growth (intact forest reference)",-,,,,,,,,,-,,,,,,create instructions,,
10,MEASUREMENTS,Species,name of dominant species,-,8,MEASUREMENTS,8 / H,veg.notes,"Notes on the vegetation at time of measurement (e.g., forest type/ list of dominant species). For single species, field gives species name acronym, as listed in the USDA Plants Checklist (http://plants.usda.gov/dl_all.html). ",character (string),-,-,-,value,"""NA""",-,,"put in notes, as opposed to scientific.name because ForC only lists species for monodominant stands.  (1) these are all naturally regeneratingsub(tropical) secondary forests, so monodominance is not realistic,and (2) while most records are single scientific names, some are other descriptions or multiple species",,,
11,MEASUREMENTS,prior,prior land use: C = crop; SC = shifting cultivation/fallow agriculture/slash and burn agriculture; H = clearcut harvest; F= fire; D = non-fire disturbance such as landslide or hurricane; PA = pasture; OG = old growth (only relevant for intact stand which have no prior condition),-,,(HISTORY),,,,,,,-,,,,,,create instructions,,
12,MEASUREMENTS,prior.duration,,-,,(HISTORY),,,,,,,-,,,,,put in notes. Will require manual review to fill in other History fields.,create instructions,,
13,MEASUREMENTS,stand.age,age of forest stand: C & PA = 0; OG = 999; otherwise as given in paper,-,4,MEASUREMENTS,4 / D,stand.age,"Age of stand at time of measurement as reported in the original publication or calculated based on the date of initiation of forest regrowth. When the publication reports a range of ages, the mean is recorded. For stands that were reported as primary/old-growth/mature/ intact stands, the stand.age is recorded as ""999"". WARNING: The ""999"" designation may include some older secondary stands that were designated ""mature"" or some partially disturbed primary stands (e.g., partially logged).",numeric (double),see description,years,-,value,,-,-,-,-,-,
14,MEASUREMENTS,date,collection date for data,-,10,MEASUREMENTS,10 / J,date,"Date on which measurement was made. Usually found as the year of measurement in the methods section, or, when unavailable, approximated as the year before publication. ",numeric (double),-,decimal years,-,value,"""NI"" ",-,-,-,-,-,
15,MEASUREMENTS,n,number of plots per site and stand age,-,17,MEASUREMENTS,17 / Q,n,Number of experimental replicates used to estimate mean and statistical summary.,numeric (integer) ,-,-,-,,,,,,-,,
15.5,MEASUREMENTS,sub.n,"number of subplots, e.g., soil samples that are pooled",-,,,,,,,,,-,,,,,,create instructions,,
16,MEASUREMENTS,plot.size,hectares,-,20,MEASUREMENTS,20 / T,area.sampled,"Area sampled for measurement of the particular variable. If the measurement includes multiple components with different sampling area (e.g., large trees sampled in the entire plot, small trees sampled in subplots), the largest area is reported. This may be less than plot.area (PLOTS table). As this field was added after most of the data had been entered, it is coded as ""NAC"" for most records.",numeric (double),-,ha,-,,,,,,-,,
16,MEASUREMENTS,plot.size,hectares,-,83,HISTORY,4 / D,plot.area,Area of plot or combined area of replicate plots.,numeric (double),-,ha,-,,,,,,-,,
17,MEASUREMENTS,variables.name,"name of stock name: aboveground_biomass; aboveground_carbon; understory_biomass; understory_carbon; litter_biomass; litter_carbon; belowground_biomass; belowground_carbon; SOC/SOM/soil_perC ",-,9,MEASUREMENTS,9 / I,variable.name,Code name for variable sampled. ,character (string),Given in VARIABLES table,-,-,(see variable_name_conversion.csv),-,-,-,-,create variable_name_conversion.csv,,
18,MEASUREMENTS,mean_ha,value of biomass or carbon estimate,-,16,MEASUREMENTS,16 / P,mean,Mean value of measurement recorded. Units depend on the variable and can be found in the VARIABLES table. ,numeric (double) ,-,Given in VARIABLES table,-,,,,,,-,,
19,MEASUREMENTS,covar_1 ,"type of covariate: max_depth; max_height; min_height; min_depth; root_diameter_max; root_diameter_min; soil_type; othermin_dbh;min_diameter;min_height;min_length",-,27,MEASUREMENTS,27 / AA,covariate_1,Code name for covariate associated with the variable being measured. Codes defined in VARIABLES table.,character (string),-,-,-,"if covar_1 any other than min_dbh, enter covar_1",NA,-,-,-,-,-,
20,MEASUREMENTS,coV1_value,value of covariate 1,-,25,MEASUREMENTS,25 / Y,min.dbh,"Minimum diameter (typically DBH, diameter at breast height) of tree stems included in the measurement. ""0"" indicates that all stems were included.",numeric (integer),,cm,-,"if covar_1=min_dbh, enter coV1_value ",NA,,,,-,,
20,MEASUREMENTS,coV1_value,value of covariate 1,-,28,MEASUREMENTS,28 / AB,coV_1.value,Value of reported covariate.,character (string),-,VARIABLES table,-,"if covar_1 any other than min_dbh, enter coV1_value",NA,-,-,-,-,-,
20.1,MEASUREMENTS,covar_2,,-,,,,,,,,,,,,,,,create instructions,,
20.2,MEASUREMENTS,coV2_value,,-,,,,,,,,,,,,,,,create instructions,,
20.3,MEASUREMENTS,covar_3,,-,,,,,,,,,,,,,,,create instructions,,
20.4,MEASUREMENTS,coV3_value,,-,,,,,,,,,,,,,,,create instructions,,
21,MEASUREMENTS,density,number of individual trees per hectare,-,,,,,,,,,-,,,,,,create instructions,add as secondary variable,
22,MEASUREMENTS,sand.silt.clay,"soil texture: %:%:% or description (e.g., clay, sandy clay, sandy clay loam, loamy sand, silty clay, silt loam)",-,62,SITES,16 / P,sand,,,,,-,"when GROA value is [V1:V2:V3], V1. If there are multiple values for the site, average them.",-,-,-,Would typically be the same through time for a plot (although there is one study where this was remeasured at the site level). Can differ between plots at a single site.,-,-,-
22,MEASUREMENTS,sand.silt.clay,"soil texture: %:%:% or description (e.g., clay, sandy clay, sandy clay loam, loamy sand, silty clay, silt loam)",-,63,SITES,17 / Q,silt,,,,,,"when GROA value is [V1:V2:V3], V2.  If there are multiple values for the site, average them.",-,-,-,Would typically be the same through time for a plot (although there is one study where this was remeasured at the site level). Can differ between plots at a single site.,-,-,-
22,MEASUREMENTS,sand.silt.clay,"soil texture: %:%:% or description (e.g., clay, sandy clay, sandy clay loam, loamy sand, silty clay, silt loam)",-,64,SITES,18 / R,clay,,,,,,"when GROA value is [V1:V2:V3], V3.  If there are multiple values for the site, average them.",-,-,-,Would typically be the same through time for a plot (although there is one study where this was remeasured at the site level). Can differ between plots at a single site.,-,-,-
23,MEASUREMENTS,pH,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,MEASUREMENTS,allometry,direct harvest = when all biomass is harvested; site-specific harvest = based on trees harvested at the site; species-specific; forest-type-specific; biome-specifi,-,21,MEASUREMENTS,21 / U,notes,"Additional information about the record, including notes on methodology and notes on any known anomalies.  Potentially problematic values have notes prefaced with asterisks. ",character (string),-,-,-,"""[value] allometries""",,,,"allometries are classified as to specificity, does not record original source",,,
25,MEASUREMENTS,measurements.notes,"any ambiguities, assumptions, or judgement calls",-,-,-,-,-,-,-,-,-,-,-,-,will need manual review to place in appropriate fields,-,-,-,-,-
26,SITES,study.id,unique identifier per publication,-,,,,,,,,,-,,,,-,not the same as ForC,create instructions,,
27,SITES,site.id,"unique identifier for each site, defined as a unique geolocation",-,,,,,,,,,-,,,,-,not the same as ForC,create instructions,,
29,SITES,site.sitename,,-,48,SITES,2 / B,sites.sitename,"Site identifier, sufficient to uniquely identify the site within the paper. Links to MEASUREMENTS, PLOTS, and HISTORY tables.",character (string),-,-,-,value,,-,-,-,-,-,
30,SITES,site.state,"sub-national jurisdiction such as state, province etc.",-,50,SITES,4 / D,state,State / province/ region,character (string),-,-,-,value,,-,-,-,-,-,
31,SITES,site.country,country name,-,51,SITES,5 / E,country,Country,character (string),-,-,-,value,,-,-,-,-,-,
32,SITES,lat_dec,latitude,-,52,SITES,6 / F,lat,"Latitude, where negative values indicate S hemisphere",numeric (double),-,decimal degrees,-,value,,-,-,-,-,-,
33,SITES,long_dec,longitude,-,53,SITES,7 / G,lon,"Longitude, where negative values indicate W hemisphere",numeric (double),-,decimal degrees,-,value,,-,-,-,-,-,
35,SITES,elevation,height above sea level,-,54,SITES,8 / H,masl,"Elevation in meters above sea level. When a range is given, midpoint is reported.",numeric (double),-,m ,-,value,,-,-,-,-,-,
