From,measurement.ID,sites.sitename,plot.name,stand.age,citation.ID,variable.name,mean,GROA.measurement.ID,Notes,corrected.in.ForC,for.list,entered.list,double.checked.in.list
ForC,15920,Virgen Maria,Premontane Rain Forest recovery following pasture abandonment,10,Cifuentes-Jara_2008_abae,biomass_ag_OM,50.6,NA,incorrect math; stnd dev. used instead of mean of trees under <10cm DBH; trees only,1,duplicate of 4816,1,1
ForC,15921,Virgen Maria,Premontane Rain Forest recovery following pasture abandonment,10,Cifuentes-Jara_2008_abae,biomass_ag_OM,54.7,NA,incorrect math; stnd dev. used instead of mean of trees under <10cm DBH; palms+lianas+herbaceous+trees,1,NA,1,1
GROA,4816,Virgen Maria,3330,10,Cifuentes-Jara_2008_abae,biomass_ag_OM,65,4816,trees only,0,duplicate of 15920,1,1
ForC,7542,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.10 cycles.Kemaong Bawas,10,Lawrence_2005_baay,biomass_ag_OM,76,NA,site= Kemaong Bawas,0,NA,1,1
ForC,7543,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.10 cycles.Kumai,10,Lawrence_2005_baay,biomass_ag_OM,70,NA,site= Kumai,0,NA,1,1
ForC,7546,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.4 cycles.Yayau 3,10,Lawrence_2005_baay,biomass_ag_OM,73.6,NA,site= Yayau 3,1,duplicate of 3003,1,1
ForC,7549,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.6 cycles.Diadn Tongang,10,Lawrence_2005_baay,biomass_ag_OM,57,NA,site=Diadh Tongang,0,NA,1,1
GROA,3003,Kembera,2483,10,Lawrence_2005_baay,biomass_ag_OM,73,3003,site= Yayau 3,0,duplicate of 7546,1,1
ForC,7543,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.10 cycles.Kumai,10,Lawrence_2005_baay,biomass_ag_OM,70,NA,site= Kumai,1,duplicate of 3008,1,1
ForC,7546,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.4 cycles.Yayau 3,10,Lawrence_2005_baay,biomass_ag_OM,73.6,NA,site= Yayau 3,0,NA,1,1
ForC,7549,Kembera,Forest recovery following long-fallow (20-yr) shifting cultivation.6 cycles.Diadn Tongang,10,Lawrence_2005_baay,biomass_ag_OM,57,NA,site= Diadh Tongang,0,NA,1,1
GROA,3008,Kembera,2488,10,Lawrence_2005_baay,biomass_ag_OM,71,3008,site= Kembera Kumai,0,duplicate of 7543,1,1
ForC,11579,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,142,NA,ForC measurements incorrect,1,duplicate of 5366,1,1
ForC,11580,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
ForC,11581,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,135.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11582,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
GROA,5366,Porce II chronosequence 2,3662,19,Sierra_2012_tcai,biomass_ag_OM,141.3,5366,NA,0,duplicate of 11579,1,1
ForC,11579,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,142,NA,ForC measurements incorrect,1,NA,1,1
ForC,11580,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
ForC,11581,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,135.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11582,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,duplicate of 5372,1,1
GROA,5372,Porce II chronosequence 2,3663,19,Sierra_2012_tcai,biomass_ag_OM,100.7,5372,NA,0,duplicate of 11582,1,1
ForC,11563,Porce II chronosequence 2,Forest recovery following agricultural abandonment.18y,18,Sierra_2012_tcai,biomass_ag_OM,75.8,NA,ForC measurements incorrect,1,duplicate of 5378,1,1
ForC,11564,Porce II chronosequence 2,Forest recovery following agricultural abandonment.18y,18,Sierra_2012_tcai,biomass_ag_OM,62.1,NA,ForC measurements incorrect,1,NA,1,1
GROA,5378,Porce II chronosequence 2,3664,18,Sierra_2012_tcai,biomass_ag_OM,75,5378,NA,0,duplicate of 11563,1,1
ForC,11598,Porce II chronosequence 2,Forest recovery following agricultural abandonment.27y,27,Sierra_2012_tcai,biomass_ag_OM,216.2,NA,ForC measurements incorrect,1,duplicate of 5384,1,1
ForC,11599,Porce II chronosequence 2,Forest recovery following agricultural abandonment.27y,27,Sierra_2012_tcai,biomass_ag_OM,105.6,NA,ForC measurements incorrect,1,NA,1,1
GROA,5384,Porce II chronosequence 2,3665,27,Sierra_2012_tcai,biomass_ag_OM,215.4,5384,NA,0,duplicate of 11598,1,1
ForC,11650,Porce II chronosequence 2,Forest recovery following agricultural abandonment.7y,7,Sierra_2012_tcai,biomass_ag_OM,71.9,NA,ForC measurements incorrect,1,duplicate of 5390,1,1
ForC,11651,Porce II chronosequence 2,Forest recovery following agricultural abandonment.7y,7,Sierra_2012_tcai,biomass_ag_OM,48.6,NA,ForC measurements incorrect,1,NA,1,1
GROA,5390,Porce II chronosequence 2,3666,7,Sierra_2012_tcai,biomass_ag_OM,70.5,5390,NA,0,duplicate of 11650,1,1
ForC,11623,Porce II chronosequence 2,Forest recovery following agricultural abandonment.36y,36,Sierra_2012_tcai,biomass_ag_OM,401.4,NA,ForC measurements incorrect,1,duplicate of 5396,1,1
GROA,5396,Porce II chronosequence 2,3667,36,Sierra_2012_tcai,biomass_ag_OM,400.5,5396,should be 400.4,0,duplicate of 11623,1,1
ForC,11554,Porce II chronosequence 2,Forest recovery following agricultural abandonment.17y,17,Sierra_2012_tcai,biomass_ag_OM,202.6,NA,ForC measurements incorrect,1,duplicate of 5402,1,1
GROA,5402,Porce II chronosequence 2,3668,17,Sierra_2012_tcai,biomass_ag_OM,202,5402,NA,0,duplicate of 11554,1,1
ForC,11617,Porce II chronosequence 2,Forest recovery following agricultural abandonment.30y,30,Sierra_2012_tcai,biomass_ag_OM,189.5,NA,ForC measurements incorrect,1,duplicate of 5408,1,1
GROA,5408,Porce II chronosequence 2,3669,30,Sierra_2012_tcai,biomass_ag_OM,188.8,5408,NA,0,duplicate of 11617,1,1
ForC,11527,Porce II chronosequence 2,Forest recovery following agricultural abandonment.14y,14,Sierra_2012_tcai,biomass_ag_OM,128.1,NA,ForC measurements incorrect,1,duplicate of 5414,1,1
ForC,11528,Porce II chronosequence 2,Forest recovery following agricultural abandonment.14y,14,Sierra_2012_tcai,biomass_ag_OM,70.8,NA,ForC measurements incorrect,1,NA,1,1
GROA,5414,Porce II chronosequence 2,3670,14,Sierra_2012_tcai,biomass_ag_OM,127.2,5414,NA,0,duplicate of 11527,1,1
ForC,11607,Porce II chronosequence 2,Forest recovery following agricultural abandonment.29y,29,Sierra_2012_tcai,biomass_ag_OM,179.3,NA,ForC measurements incorrect,1,duplicate of 5420,1,1
GROA,5420,Porce II chronosequence 2,3671,29,Sierra_2012_tcai,biomass_ag_OM,178.7,5420,NA,0,duplicate of 11607,1,1
ForC,11512,Porce II chronosequence 2,Forest recovery following agricultural abandonment.10y,10,Sierra_2012_tcai,biomass_ag_OM,79.8,NA,ForC measurements incorrect,1,duplicate of 5426,1,1
GROA,5426,Porce II chronosequence 2,3672,10,Sierra_2012_tcai,biomass_ag_OM,79,5426,NA,0,duplicate of 11512,1,1
ForC,11590,Porce II chronosequence 2,Forest recovery following agricultural abandonment.21y,21,Sierra_2012_tcai,biomass_ag_OM,77,NA,ForC measurements incorrect,1,duplicate of 5432,1,1
GROA,5432,Porce II chronosequence 2,3673,21,Sierra_2012_tcai,biomass_ag_OM,76.2,5432,NA,0,duplicate of 11590,1,1
ForC,11563,Porce II chronosequence 2,Forest recovery following agricultural abandonment.18y,18,Sierra_2012_tcai,biomass_ag_OM,75.8,NA,ForC measurements incorrect,1,NA,1,1
ForC,11564,Porce II chronosequence 2,Forest recovery following agricultural abandonment.18y,18,Sierra_2012_tcai,biomass_ag_OM,62.1,NA,ForC measurements incorrect,1,duplicate of 5438,1,1
GROA,5438,Porce II chronosequence 2,3674,18,Sierra_2012_tcai,biomass_ag_OM,61.3,5438,NA,0,duplicate of 11564,1,1
ForC,11650,Porce II chronosequence 2,Forest recovery following agricultural abandonment.7y,7,Sierra_2012_tcai,biomass_ag_OM,71.9,NA,ForC measurements incorrect,1,NA,1,1
ForC,11651,Porce II chronosequence 2,Forest recovery following agricultural abandonment.7y,7,Sierra_2012_tcai,biomass_ag_OM,48.6,NA,ForC measurements incorrect,1,duplicate of 5444,1,1
GROA,5444,Porce II chronosequence 2,3675,7,Sierra_2012_tcai,biomass_ag_OM,47.8,5444,NA,0,duplicate of 11651,1,1
ForC,11545,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,50.4,NA,ForC measurements incorrect,1,duplicate of 5450,1,1
ForC,11546,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,112.2,NA,ForC measurements incorrect,1,NA,1,1
ForC,11547,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,84.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11548,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,79.7,NA,ForC measurements incorrect,1,NA,1,1
GROA,5450,Porce II chronosequence 2,3676,15,Sierra_2012_tcai,biomass_ag_OM,49.6,5450,NA,0,duplicate of 11545,1,1
ForC,11579,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,142,NA,ForC measurements incorrect,1,NA,1,1
ForC,11580,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
ForC,11581,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,135.3,NA,ForC measurements incorrect,1,duplicate of 5456,1,1
ForC,11582,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
GROA,5456,Porce II chronosequence 2,3677,19,Sierra_2012_tcai,biomass_ag_OM,133.5,5456,NA,0,duplicate of 11581,1,1
ForC,11579,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,142,NA,ForC measurements incorrect,1,NA,1,1
ForC,11580,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,duplicate of 5462,1,1
ForC,11581,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,135.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11582,Porce II chronosequence 2,Forest recovery following agricultural abandonment.19y,19,Sierra_2012_tcai,biomass_ag_OM,101.8,NA,ForC measurements incorrect,1,NA,1,1
GROA,5462,Porce II chronosequence 2,3678,19,Sierra_2012_tcai,biomass_ag_OM,100.9,5462,NA,0,duplicate of 11580,1,1
ForC,11545,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,50.4,NA,ForC measurements incorrect,1,NA,1,1
ForC,11546,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,112.2,NA,ForC measurements incorrect,1,duplicate of 5468,1,1
ForC,11547,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,84.3,NA,ForC measurements incorrect,1,NA,1,1
ForC,11548,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,79.7,NA,ForC measurements incorrect,1,NA,1,1
GROA,5468,Porce II chronosequence 2,3679,15,Sierra_2012_tcai,biomass_ag_OM,111,5468,NA,0,duplicate of 11546,1,1
ForC,11593,Porce II chronosequence 2,Forest recovery following agricultural abandonment.24y,24,Sierra_2012_tcai,biomass_ag_OM,97.4,NA,ForC measurements incorrect,1,duplicate of 5474,1,1
GROA,5474,Porce II chronosequence 2,3680,24,Sierra_2012_tcai,biomass_ag_OM,96.7,5474,NA,1,duplicate of 11593,1,1
ForC,11658,Porce II chronosequence 2,Forest recovery following agricultural abandonment.9y,9,Sierra_2012_tcai,biomass_ag_OM,51,NA,ForC measurements incorrect,1,duplicate of 5480,1,1
ForC,11659,Porce II chronosequence 2,Forest recovery following agricultural abandonment.9y,9,Sierra_2012_tcai,biomass_ag_OM,57.7,NA,ForC measurements incorrect,1,NA,1,1
GROA,5480,Porce II chronosequence 2,3681,9,Sierra_2012_tcai,biomass_ag_OM,50.2,5480,NA,0,duplicate of 11658,1,1
ForC,11598,Porce II chronosequence 2,Forest recovery following agricultural abandonment.27y,27,Sierra_2012_tcai,biomass_ag_OM,216.2,NA,ForC measurements incorrect,1,NA,1,1
ForC,11599,Porce II chronosequence 2,Forest recovery following agricultural abandonment.27y,27,Sierra_2012_tcai,biomass_ag_OM,105.6,NA,ForC measurements incorrect,1,duplicate of 5486,1,1
GROA,5486,Porce II chronosequence 2,3682,27,Sierra_2012_tcai,biomass_ag_OM,104.9,5486,NA,0,duplicate of 11599,1,1
ForC,11545,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,50.4,NA,ForC measurements incorrect,1,NA,1,1
ForC,11546,Porce II chronosequence 2,Forest recovery following agricultural abandonment.15y,15,Sierra_2012_tcai,biomass_ag_OM,112.2,NA,ForC measurements incorrect,1,NA,1,1
