checked,study.id,IPCC ,Soil,citations.author,citations.year,Code2,Count,citations.journal,citations.title,Entered,citations.notes,data remaining,ForCdb,Poorter,Bonner
SL,150,2,0,Myster,2017,yes,1,NEW ZEALAND JOURNAL OFFORESTRYSCIENCE 47:3,Gradient (elevation) vs. disturbance (agriculture) effects on primary cloud forest in Ecuador: floristics and physical structure,3/16/2018,,,,,
SL,222,2,1,Salinas-Melgoza,2017,yes,1,SILVA FENNICA 51:1-25,Carbon emissions from dryland shifting cultivation: a case study of Mexican tropical dry forest,3/16/2018,Did not extract old fallow since it had ambiguous age,,,,
SL,246,1,1,Fujiki,2017,yes,1,JOURNAL OF TROPICAL ECOLOGY 33:33-49,Plant communities and ecosystem processes in a succession-altitude matrix after shifting cultivation in the tropical montane forest zone of northern Borneo,3/17/2018,,,,,
SL,270,0,0,Ali,2017,yes,1,Science of Total Environment,Community-weighted mean of leaf traits and divergence of wood traits predict aboveground biomass in secondary subtropical forests,3/17/2018,"SI data. Measured trees greater than 1.5m tall, no stated dbh cut-off.",,,,
SL,390,0,1,Yang,2016,yes,1,SCIENTIFIC REPORTS -0.25 ,"Soil organic carbon accumulation during post-agricultural succession in a karst area, southwest China",3/19/2018,soil only,,,,
SL,414,0,0,Yazaki,2016,yes,1,FORESTS 7:-,Biomass Accumulation and Net Primary Production during the Early Stage of Secondary Succession after a Severe Forest Disturbance in Northern Japan,3/19/2018,,,,,
SL,557,0,1,Paz,2016,yes,1,FOREST ECOLOGY AND MANAGEMENT376:74-83,Soil types influence predictions of soil carbon stock recovery in tropical secondary forests,3/19/2018,soil only,,,,
SL,661,1,0,Chan,2016,yes,1,MOUNTAIN RESEARCH AND DEVELOPMENT 36:320-331,The Transition Away From Swidden Agriculture and Trends in Biomass Accumulation in Fallow Forests,3/19/2018,did not extract soil inorganic carbon,,,,
SL,851,0,1,Zhang,2016,yes,1,ECOLOGICAL ENGINEERING 91:574-581 ,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau,3/21/2018,"soil only, SNR",,,,
SL,856,2,0,Silva,2016,yes,1,ACTA AMAZONICA 46:133-150 ,Floristic and structure of an Amazonian primary forest and a chronosequence of secondary succession,3/22/2018,,,,,
SL,995,0,1,Wang,2016,yes,1,JOURNAL OF ARID LAND8:207-220,Dynamics of ecosystem carbon stocks during vegetation restoration on the Loess Plateau of China,3/22/2018,Did not extract chronosequence 2 = ITP,,,,
SL,1000,0,0,Ishihara,2016,yes,1,PLOS ONE 11:e0152219,A New Model for Size-Dependent Tree Growth in Forests,3/22/2018,"data are in the supplement, at individual tree level but assuming that they are measuring all trees in a plot",,,,
SL,1008,1,0,Otuoma,2016,yes,1,FOREST ECOLOGY AND MANAGEMENT 365:61-68,Determinants of aboveground carbon offset additionality in plantation forests in a moist tropical forest in western Kenya,3/22/2018,,,,,
SL,1026,2,0,Spracklen,2016,yes,1,FOREST ECOLOGY AND MANAGEMENT 364:139-144,Carbon storage and sequestration of re-growing montane forests in southern Ecuador,3/23/2018,,,,,
SL,1031,1,0,Mukul,2016,yes,1,SCIENTIFIC REPORTS 6:22483,Tropical secondary forests regenerating after shifting cultivation in the Philippines uplands are important carbon sinks,3/19/2018,"prioritized data from here over other Mukul paper, see 427",,,,
SL,1097,2,0,Poorter,2016,yes,1,NATURE 530:211-+  ,Biomass resilience of Neotropical secondary forests,8/2/2017," Included unpublished data here, but other data under the original citation. Excluded Quintana Roo and Pucallpa, because not in supplementary data nor with forest age or citation. Plot size is average described in Poorter 2016",,,,
SL,1222,0,1,Aosaar,2016,yes,1,SILVA FENNICA 50,Biomass production and nitrogen balance of naturally afforested silver birch (Betula pendula Roth.) stand in Estonia,3/23/2018,,,,,
SL,1394,0,1,Huang,2015,yes,1,TROPICAL CONSERVATION SCIENCE 8:1033-1052,Changes in the diversity of evergreen and deciduous species during natural recovery following clear-cutting in a subtropical evergreen-deciduous broadleaved mixed forest of central China,3/23/2018,"extracted the soil data, basal area for trees",,,,
SL,1436,1,0,McNicol,2015,yes,1,FOREST ECOLOGY AND MANAGEMENT 357:104-116,Development of allometric models for above and belowground biomass in swidden cultivation fallows of Northern Laos,3/23/2018,,,,,
SL,1599,0,1,Zhao,2015,yes,1,CATENA 133:303-308  ,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",3/23/2018,,,,,
SL,1636,2,1,Robinson,2015,yes,1,BIODIVERSITY AND CONSERVATION 24:2273-2291,Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest,3/26/2018,,,,,
SL,1819,2,0,Wandelli,2015,yes,1,FOREST ECOLOGY AND MANAGEMENT 347:140-148,Secondary vegetation in central Amazonia: Land-use history effects on aboveground biomass,3/26/2018,,,,,
SCC,1879,0,1,Zhang,2015,yes,1,PLANT AND SOIL 391:77-91,Changes in nitrogen and phosphorus limitation during secondary succession in a karst region in southwest China,3/26/2018,SNR,,,,
SL,1945,0,0,Fortier,2015,yes,1,JOURNAL OF ENVIRONMENTAL MANAGEMENT 154:333-345,"Biomass carbon, nitrogen and phosphorus stocks in hybrid poplar buffers, herbaceous buffers and natural woodlots in the riparian zone on agricultural land",3/27/2018,riparian buffer,"secondary forest, age 54,72,200 and 9 year old hybrid poplar plantations",,,
SCC,2058,0,1,Chen,2015,yes,1,FORESTS 6:794-808  ,"Carbon Storage and Allocation Pattern in Plant Biomass among Different Forest Plantation Stands in Guangdong, China",3/27/2018,"only took year 6 data, naturally recovered shrubland",MP and DP remaining,,,
SCC,2148,0,1,Li,2015,yes,1,IFOREST-BIOGEOSCIENCES AND FORESTRY 8:45-52,Estimating changes in soil organic carbon storage due to land use changes using a modified calculation method,3/27/2018,soil only,"old growth forest > 200 yrs, rubber plantation",,,
SCC,2161,2,0,Martinez-Sanchez,2015,yes,1,ECOSCIENCE 22:125-131  ,Relationship between structural diversity and carbon stocks in humid and sub-humid tropical forest of Mexico,3/27/2018,,,,,
SCC,2236,0,1,Marques,2015,yes,1,REVISTA BRASILEIRA DE CIENCIADO SOLO 39:232-242,DISTRIBUTION OF ORGANIC CARBON IN DIFFERENT SOIL FRACTIONS IN ECOSYSTEMS OF CENTRAL AMAZONIA,3/27/2018,"soil only, took pasture and secondary succession data",multistrata agroforestry,,,
