"ForC.measurement.ID","GROA.measurement.ID"
1,4784
3,4784
5,4784
7,4784
9,4784
239,4824
241,4824
243,4824
245,4824
247,4824
644,3256
982,1295
983,1296
984,1297
985,1298
986,1299
988,1301
989,1302
990,1303
992,1305
993,1306
995,1308
996,1309
997,1310
999,1312
1000,1313
1001,1314
1003,1316
1004,1317
1005,1318
1007,1320
1008,1321
1009,1322
1456,4464
1458,4464
1460,4464
1462,4464
2298,3536
2302,3527
2306,3531
2405,4520
2407,4520
2409,4520
2411,4520
2413,4520
2418,4552
2420,4552
2422,4552
2424,4552
2426,4552
2448,4792
2450,4792
2452,4792
2454,4792
2456,4792
2460,4856
2462,4856
2464,4856
2466,4856
2468,4856
2583,4656
2585,4656
2587,4656
2589,4656
2591,4656
2612,4696
2614,4696
2616,4696
2618,4696
2620,4696
3354,13273
3399,13281
3409,13283
3425,4608
3427,4608
3429,4608
3431,4608
3433,4608
3440,4624
3442,4624
3444,4624
3446,4624
3448,4624
3644,4672
3646,4672
3648,4672
3650,4672
3652,4672
3718,4832
3720,4832
3722,4832
3724,4832
3726,4832
3858,4736
3860,4736
3862,4736
3864,4736
3866,4736
4029,4488
4031,4488
4033,4488
4035,4488
4037,4488
4153,4560
4155,4560
4157,4560
4159,4560
4161,4560
4184,4752
4186,4752
4188,4752
4190,4752
4192,4752
4227,4848
4229,4848
4231,4848
4233,4848
4235,4848
4236,4536
4238,4536
4240,4536
4242,4536
4244,4536
4245,4584
4247,4584
4249,4584
4251,4584
4253,4584
4745,4528
4747,4528
4749,4528
4751,4528
4753,4528
4755,3243
4779,4592
4781,4592
4783,4592
4785,4592
4787,4592
6463,4864
6465,4864
6467,4864
6469,4864
6471,4864
6477,4640
6479,4640
6481,4640
6483,4640
6485,4640
6877,4568
6879,4568
6881,4568
6883,4568
6885,4568
7118,3388
7542,3007
7543,3008
7546,3003
7547,3004
7549,3006
7810,4880
7812,4880
7814,4880
7816,4880
7818,4880
8549,4648
8551,4648
8553,4648
8555,4648
8557,4648
8855,4480
8857,4480
8859,4480
8861,4480
8863,4480
9610,4840
9612,4840
9614,4840
9616,4840
9618,4840
9955,4512
9957,4512
9959,4512
9961,4512
9963,4512
10060,3253
10689,4800
10691,4800
10693,4800
10695,4800
10697,4800
10715,4688
10717,4688
10719,4688
10721,4688
10723,4688
10827,1124
10833,1130
10836,1133
10838,1135
10844,1141
11050,4768
11052,4768
11054,4768
11056,4768
11058,4768
11512,5426
11517,5504
11527,5414
11528,5516
11545,5450
11546,5468
11547,5492
11548,5498
11554,5402
11563,5378
11564,5438
11579,5366
11580,5462
11581,5456
11582,5372
11590,5432
11593,5474
11598,5384
11599,5486
11607,5420
11617,5408
11623,5396
11635,5528
11636,5534
11639,5546
11640,5552
11650,5390
11651,5444
11658,5480
11659,5510
12031,4504
12033,4504
12035,4504
12037,4504
12087,4776
12089,4776
12091,4776
12093,4776
12095,4776
12205,4576
12207,4576
12209,4576
12211,4576
12584,5599
12586,5609
12588,5612
12592,5603
12594,5618
12596,5606
12614,4704
12616,4704
12618,4704
12620,4704
12622,4704
13087,4600
13089,4600
13091,4600
13093,4600
13095,4600
13233,4680
13235,4680
13237,4680
13239,4680
13241,4680
13242,4664
13244,4664
13246,4664
13248,4664
13250,4664
13394,4712
13396,4712
13398,4712
13400,4712
13402,4712
14065,3456
14066,3452
14067,3457
14068,3453
14069,3459
14070,3464
14071,3454
14072,3458
14073,3455
14074,3460
14075,3465
14076,3461
14077,3462
14078,3463
15009,4760
15011,4760
15013,4760
15015,4760
15017,4760
15421,4728
15423,4728
15425,4728
15427,4728
15429,4728
15597,4544
15599,4544
15601,4544
15603,4544
15605,4544
15813,4872
15815,4872
15817,4872
15819,4872
15821,4872
15920,4816
15937,4808
15939,4808
15941,4808
15943,4808
15945,4808
17282,4616
17284,4616
17286,4616
17288,4616
17290,4616
30694,561
30695,562
30696,563
30697,564
30698,565
30699,566
30700,567
30701,568
30702,569
30703,570
30704,571
30705,572
30706,573
30707,574
30708,575
30709,576
30710,577
30711,578
30712,579
30713,580
30714,581
30715,582
30716,583
30717,584
30718,585
30719,586
30720,587
30721,588
30722,589
30723,590
30724,591
30725,592
30726,593
30727,594
30728,595
30729,598
30730,599
30731,600
30732,601
30733,602
30734,603
30735,604
30736,605
30737,606
30738,607
30739,608
30740,609
30741,610
30742,611
30743,612
30744,613
30745,614
30746,615
30747,616
30748,617
30749,618
30750,619
30751,620
30752,621
30753,622
30754,623
30755,624
30756,625
30757,626
30758,627
30759,628
30760,629
30761,630
30762,631
30763,632
30764,633
30765,634
30766,635
30767,636
30768,637
30769,638
30770,639
