"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Xu_2015_proa","NAC","Xu",2015,"Partial recovery of a tropical rain forest a half-century after clear-cut and selective logging",TRUE
"Salinas-Melgoza_2017_cefd","NAC","Salinas-Melgoza",2017,"Carbon emissions from dryland shifting cultivation: a case study of Mexican tropical dry forest",TRUE
"Fujiki_2017_pcae","NAC","Fujiki",2017,"Plant communities and ecosystem processes in a succession-altitude matrix after shifting cultivation in the tropical montane forest zone of northern Borneo",TRUE
"Yang_2016_soca","NAC","Yang",2016,"Soil organic carbon accumulation during post-agricultural succession in a karst area, southwest China",TRUE
"Paz_2016_stip","NAC","Paz",2016,"Soil types influence predictions of soil carbon stock recovery in tropical secondary forests",TRUE
"Zhang_2016_tcio","NAC","Zhang",2016,"The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau",TRUE
"Wang_2016_doec","NAC","Wang",2016,"Dynamics of ecosystem carbon stocks during vegetation restoration on the Loess Plateau of China",TRUE
"Aosaar_2016_bpan","NAC","Aosaar",2016,"Biomass production and nitrogen balance of naturally afforested silver birch (Betula pendula Roth.) stand in Estonia",TRUE
"Huang_2015_citd","NAC","Huang",2015,"Changes in the diversity of evergreen and deciduous species during natural recovery following clear-cutting in a subtropical evergreen-deciduous broadleaved mixed forest of central China",TRUE
"Zhao_2015_socf","NAC","Zhao",2015,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China",TRUE
"Robinson_2015_fies","NAC","Robinson",2015,"Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest",TRUE
"Zhang_2015_cina","NAC","Zhang",2015,"Changes in nitrogen and phosphorus limitation during secondary succession in a karst region in southwest China",TRUE
"Chen_2015_csaa","NAC","Chen",2015,"Carbon Storage and Allocation Pattern in Plant Biomass among Different Forest Plantation Stands in Guangdong, China",TRUE
"Li_2015_ecis","NAC","Li",2015,"Estimating changes in soil organic carbon storage due to land use changes using a modified calculation method",TRUE
"Marques_2015_dooc","NAC","Marques",2015,"DISTRIBUTION OF ORGANIC CARBON IN DIFFERENT SOIL FRACTIONS IN ECOSYSTEMS OF CENTRAL AMAZONIA",TRUE
"Jacobi_2014_cstd","NAC","Jacobi",2014,"Carbon stocks, tree diversity, and the role of organic certification in different cocoa production systems in Alto Beni, Bolivia",TRUE
"Novak_2014_savt","NAC","Novak",2014,"Soil and vegetation transformation in abandoned vineyards of the Tokaj Nagy-Hill, Hungary",TRUE
"Guidi_2014_ciso","NAC","Guidi",2014,"Changes in soil organic carbon and nitrogen following forest expansion on grassland in the Southern Alps",TRUE
"Viana_2014_sqif","NAC","Viana",2014,"Soil quality indicators for different restoration stages on Amazon rainforest",TRUE
"Kurth_2014_fpos","NAC","Kurth",2014,"Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting",TRUE
"Deng_2014_lnsi","NAC","Deng",2014,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",TRUE
"Batterman_2013_kros","NAC","Batterman",2013,"Key role of symbiotic dinitrogen fixation in tropical forest secondary succession",TRUE
"Kalinina_2013_sopa","NAC","Kalinina",2013,"Self-restoration of post-agrogenic Albeluvisols: Soil development, carbon stocks and dynamics of carbon pools",TRUE
"Wei_2013_recs","NAC","Wei",2013,"Restoring ecosystem carbon sequestration through afforestation: A sub-tropic restoration case study",TRUE
"de Aguiar_2013_dbpd","NAC","de Aguiar",2013,"Does biomass production depend on plant community diversity?",TRUE
"Li_2013_cand","NAC","Li",2013,"Carbon and nitrogen distribution across a chronosequence of secondary lacebark pine in China",TRUE
"Armolaitis_2013_soso","NAC","Armolaitis",2013,"Stability of soil organic carbon in agro and forest ecosystems on Arenosol",TRUE
