"history.ID","sites.sitename","plot.name","plot.area","event.sequence","date","date.loc","hist.cat","hist.type","est.regrowth.assumed.same.year","level","units","percent.mortality","hist.notes","plothistory.ID.v1","NEW_RECORD","GROA.site.ID"
5281.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3619","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8878",NA,TRUE,7
5281.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3619","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8878",NA,TRUE,7
5281.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3619","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8878",NA,TRUE,7
5282.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3620","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8879",NA,TRUE,7
5282.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3620","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8879",NA,TRUE,7
5282.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3620","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8879",NA,TRUE,7
5283.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3621","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8880",NA,TRUE,7
5283.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3621","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8880",NA,TRUE,7
5283.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3621","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8880",NA,TRUE,7
5284.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3622","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8881",NA,TRUE,7
5284.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3622","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8881",NA,TRUE,7
5284.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3622","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8881",NA,TRUE,7
5285.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3623","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8882",NA,TRUE,7
5285.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3623","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8882",NA,TRUE,7
5285.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3623","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8882",NA,TRUE,7
5286.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3624","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8883",NA,TRUE,7
5286.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3624","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8883",NA,TRUE,7
5286.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3624","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8883",NA,TRUE,7
5287.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3625","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8884",NA,TRUE,7
5287.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3625","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8884",NA,TRUE,7
5287.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3625","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8884",NA,TRUE,7
5288.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3626","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8885",NA,TRUE,7
5288.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3626","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8885",NA,TRUE,7
5288.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3626","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8885",NA,TRUE,7
5289.01,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3627","0.0947",1,"NAC","9","Disturbance","Grazed",NA,"NAC",NA,"100","GROA site.id #7, plot.id #8886",NA,TRUE,7
5289.02,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3627","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #7, plot.id #8886",NA,TRUE,7
5289.03,"Cajueiro","regrowth stand regenerating via spontaneous natural regeneration 3627","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #7, plot.id #8886",NA,TRUE,7
5290.01,"Chinantla","regrowth stand regenerating via spontaneous natural regeneration 3628","0.0947",1,"NAC","9","Disturbance","Shifting cultivation",NA,"NAC",NA,"100","GROA site.id #8, plot.id #8887",NA,TRUE,8
5290.02,"Chinantla","regrowth stand regenerating via spontaneous natural regeneration 3628","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #8, plot.id #8887",NA,TRUE,8
5290.03,"Chinantla","regrowth stand regenerating via spontaneous natural regeneration 3628","0.0947",3,"NAC","9","Regrowth","Initiation of post-disturbance cohort (planted or natural)",NA,NA,NA,NA,"GROA site.id #8, plot.id #8887",NA,TRUE,8
5291.01,"Chinantla","regrowth stand regenerating via spontaneous natural regeneration 3629","0.0947",1,"NAC","9","Disturbance","Shifting cultivation",NA,"NAC",NA,"100","GROA site.id #8, plot.id #8888",NA,TRUE,8
5291.02,"Chinantla","regrowth stand regenerating via spontaneous natural regeneration 3629","0.0947",2,"NAC","9","Establishment","Establishment of oldest trees",NA,NA,NA,NA,"GROA site.id #8, plot.id #8888",NA,TRUE,8
