"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","NEW_RECORD","GROA.site.ID"
3423,"Mixe",NA,NA,NA,"NAC","","Mexico",17.016667,-95.9,"1400",NA,"NAC","NAC","NAC","1974",NA,"","NaN","NaN","NaN","Acrisols",NA,NA,"GROA site.id #3582",NA,NA,NA,NA,NA,"Monreal_2005_amfm",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3582
3424,"Mazateca",NA,NA,NA,"NAC","","Mexico",18.15,-96.9,"1605",NA,"NAC","NAC","NAC","1474",NA,"","NaN","NaN","NaN","Acrisols",NA,NA,"GROA site.id #13956",NA,NA,NA,NA,NA,"Monreal_2005_amfm",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,13956
3425,"Coconino Kaibab 34 burn",NA,NA,NA,"NAC","Arizona","United States",35.4475,-111.723056,"2190",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","Inceptisols",NA,NA,"GROA site.id #13982",NA,NA,NA,NA,NA,"Ross_2012_ecrl",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,13982
3426,"Sirchini Arable",NA,NA,NA,"NAC","","Russia",59.2,50.7,"",NA,"1","NAC","NAC","550",NA,"20.55.25","NaN","NaN","NaN","Alfisols",NA,NA,"GROA site.id #3884",NA,NA,NA,NA,NA,"Kalinina_2013_sopa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3884
3427,"Sirchini Chronosequence",NA,NA,NA,"NAC","","Russia",59.216667,50.433333,"",NA,"1","NAC","NAC","550",NA,"20.55.25","NaN","NaN","NaN","Alfisols",NA,NA,"GROA site.id #3885",NA,NA,NA,NA,NA,"Kalinina_2013_sopa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3885
3428,"Ibadan",NA,NA,NA,"NAC","","Nigeria",7.5,3.9,"",NA,"NAC","NAC","NAC","1350",NA,"NAC","NAC","NAC","NAC","Alfisols",NA,NA,"GROA site.id #2257",NA,NA,NA,NA,NA,"Juo_1996_spac",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2257
3429,"Craigieburn Range",NA,NA,NA,"NAC","South Island","New Zealand",-43.25,171.633247,"1136",NA,"8","NAC","NAC","1447",NA,"","NaN","NaN","NaN","Allophanic brown",NA,NA,"GROA site.id #13976",NA,NA,NA,NA,NA,"Davis_2003_csaa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,13976
3430,"La Selva",NA,NA,NA,"NAC","","Costa Rica",10.433333,-83.983333,"93",NA,"24","NAC","NAC","3800",NA,"","NaN","NaN","NaN","Inceptisols",NA,NA,"GROA site.id #3907",NA,NA,NA,NA,NA,"Roth_1994_laop",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3907
3431,"Maquipucuna",NA,NA,NA,"NAC","","Ecuador",0.083333,-78.616667,"1400",NA,"NAC","NAC","NAC","3200",NA,"","NaN","NaN","NaN","Andic humitropepts",NA,NA,"GROA site.id #2112",NA,NA,NA,NA,NA,"Myster_2017_gevd; Rhoades_2000_scda",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2112
3432,"La Palma",NA,NA,NA,"NAC","Canary Islands","Spain",28.566817,-17.844876,"1100",NA,"13.6","NAC","NAC","960",NA,"","NaN","NaN","NaN","Andisols",NA,NA,"GROA site.id #444",NA,NA,NA,NA,NA,"Bermudez_2007_fasr",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,444
3433,"Tongariro National Park",NA,NA,NA,"NAC","North Island","New Zealand",-39.083333,175.75,"800",NA,"11.1","NAC","NAC","1610",NA,"","NaN","NaN","NaN","Andisols",NA,NA,"GROA site.id #2145",NA,NA,NA,NA,NA,"Scott_2000_cand",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2145
3434,"Barangay Gaas",NA,NA,NA,"NAC","Leyte Island","Philippines",10.424794,123.752959,"550",NA,"28","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Andisols",NA,NA,"GROA site.id #2354",NA,NA,NA,NA,NA,"Mukul_2016_tsfr",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2354
3435,"Oyacachi",NA,NA,NA,"NAC","Napo","Ecuador",-0.216667,-78.05,"3200",NA,"10.5","NAC","NAC","2250",NA,"","NaN","NaN","NaN","Andosol",NA,NA,"GROA site.id #289",NA,NA,NA,NA,NA,"Fehse_2002_hats",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,289
