study.id,citations.author,citations.year,Code2,Count,citations.journal,citations.title
12001,Xu,2015,yes,1,"JOURNAL OF APPLIED ECOLOGY, 52, 1044-1052",Partial recovery of a tropical rain forest a half-century after clear-cut and selective logging
222,Salinas-Melgoza,2017,yes,1,SILVA FENNICA 51:1-25,Carbon emissions from dryland shifting cultivation: a case study of Mexican tropical dry forest
246,Fujiki,2017,yes,1,JOURNAL OF TROPICAL ECOLOGY 33:33-49,Plant communities and ecosystem processes in a succession-altitude matrix after shifting cultivation in the tropical montane forest zone of northern Borneo
390,Yang,2016,yes,1,SCIENTIFIC REPORTS -0.25 ,"Soil organic carbon accumulation during post-agricultural succession in a karst area, southwest China"
557,Paz,2016,yes,1,FOREST ECOLOGY AND MANAGEMENT376:74-83,Soil types influence predictions of soil carbon stock recovery in tropical secondary forests
851,Zhang,2016,yes,1,ECOLOGICAL ENGINEERING 91:574-581 ,The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau
995,Wang,2016,yes,1,JOURNAL OF ARID LAND8:207-220,Dynamics of ecosystem carbon stocks during vegetation restoration on the Loess Plateau of China
1222,Aosaar,2016,yes,1,SILVA FENNICA 50,Biomass production and nitrogen balance of naturally afforested silver birch (Betula pendula Roth.) stand in Estonia
1394,Huang,2015,yes,1,TROPICAL CONSERVATION SCIENCE 8:1033-1052,Changes in the diversity of evergreen and deciduous species during natural recovery following clear-cutting in a subtropical evergreen-deciduous broadleaved mixed forest of central China
1599,Zhao,2015,yes,1,CATENA 133:303-308  ,"Soil organic carbon fractions and sequestration across a 150-yr secondary forest chronosequence on the Loess Plateau, China"
1636,Robinson,2015,yes,1,BIODIVERSITY AND CONSERVATION 24:2273-2291,Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest
1879,Zhang,2015,yes,1,PLANT AND SOIL 391:77-91,Changes in nitrogen and phosphorus limitation during secondary succession in a karst region in southwest China
2058,Chen,2015,yes,1,FORESTS 6:794-808  ,"Carbon Storage and Allocation Pattern in Plant Biomass among Different Forest Plantation Stands in Guangdong, China"
2148,Li,2015,yes,1,IFOREST-BIOGEOSCIENCES AND FORESTRY 8:45-52,Estimating changes in soil organic carbon storage due to land use changes using a modified calculation method
2236,Marques,2015,yes,1,REVISTA BRASILEIRA DE CIENCIADO SOLO 39:232-242,DISTRIBUTION OF ORGANIC CARBON IN DIFFERENT SOIL FRACTIONS IN ECOSYSTEMS OF CENTRAL AMAZONIA
2382,Jacobi,2014,yes,1,AGROFORESTRY SYSTEMS 88:1117-1132 ,"Carbon stocks, tree diversity, and the role of organic certification in different cocoa production systems in Alto Beni, Bolivia"
2416,Novak,2014,yes,1,CATENA 123:88-98  ,"Soil and vegetation transformation in abandoned vineyards of the Tokaj Nagy-Hill, Hungary"
2542,Guidi,2014,yes,1,FOREST ECOLOGY AND MANAGEMENT 328:103-116,Changes in soil organic carbon and nitrogen following forest expansion on grassland in the Southern Alps
2735,Viana,2014,yes,1,SOIL & TILLAGE RESEARCH 140:1-7,Soil quality indicators for different restoration stages on Amazon rainforest
2963,Kurth,2014,yes,1,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL 78:624-633,Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting
3017,Broadbent,2014,yes,1,PLOS ONE 9:e86042,Integrating Stand and Soil Properties to Understand Foliar Nutrient Dynamics during Forest Succession Following Slash-and-Burn Agriculture in the Bolivian Amazon
3217,Deng,2014,yes,1,SOIL RESEARCH 52:262-270 ,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China"
3452,Batterman,2013,yes,1,NATURE 502:224-+  ,Key role of symbiotic dinitrogen fixation in tropical forest secondary succession
3504,Kalinina,2013,yes,1,GEODERMA 207:221-233  ,"Self-restoration of post-agrogenic Albeluvisols: Soil development, carbon stocks and dynamics of carbon pools"
3646,Wei,2013,yes,1,FOREST ECOLOGY AND MANAGEMENT 300:60-67,Restoring ecosystem carbon sequestration through afforestation: A sub-tropic restoration case study
