measurement.id,plot.id,site.id,study.id,sites.sitename,refor.type,species,prior,prior.disturbance.notes,stand.age,date,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value,density,sand.silt.clay,allometry
561,8878,7,1097,Cajueiro,SNR,,PA,,15,NA,1,NA,0.0947,aboveground_biomass,41.36214602,min_dbh,5,,NA,,,NA,,biome-specific
562,8879,7,1097,Cajueiro,SNR,,PA,,15,NA,1,NA,0.0947,aboveground_biomass,32.58729761,min_dbh,5,,NA,,,NA,,biome-specific
563,8880,7,1097,Cajueiro,SNR,,PA,,20,NA,1,NA,0.0947,aboveground_biomass,42.46318368,min_dbh,5,,NA,,,NA,,biome-specific
564,8881,7,1097,Cajueiro,SNR,,PA,,20,NA,1,NA,0.0947,aboveground_biomass,58.6312691,min_dbh,5,,NA,,,NA,,biome-specific
565,8882,7,1097,Cajueiro,SNR,,PA,,27,NA,1,NA,0.0947,aboveground_biomass,50.16417057,min_dbh,5,,NA,,,NA,,biome-specific
566,8883,7,1097,Cajueiro,SNR,,PA,,27,NA,1,NA,0.0947,aboveground_biomass,83.21236974,min_dbh,5,,NA,,,NA,,biome-specific
567,8884,7,1097,Cajueiro,SNR,,PA,,59,NA,1,NA,0.0947,aboveground_biomass,165.4792534,min_dbh,5,,NA,,,NA,,biome-specific
568,8885,7,1097,Cajueiro,SNR,,PA,,59,NA,1,NA,0.0947,aboveground_biomass,102.1377779,min_dbh,5,,NA,,,NA,,biome-specific
569,8886,7,1097,Cajueiro,SNR,,PA,,59,NA,1,NA,0.0947,aboveground_biomass,129.5300076,min_dbh,5,,NA,,,NA,,biome-specific
570,8887,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,42.69398397,min_dbh,5,,NA,,,NA,,biome-specific
571,8888,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,76.95580688,min_dbh,5,,NA,,,NA,,biome-specific
572,8889,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,1.350482087,min_dbh,5,,NA,,,NA,,biome-specific
573,8890,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,5.29284728,min_dbh,5,,NA,,,NA,,biome-specific
574,8891,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,24.13827947,min_dbh,5,,NA,,,NA,,biome-specific
575,8892,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,31.85555446,min_dbh,5,,NA,,,NA,,biome-specific
576,8893,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,39.03212649,min_dbh,5,,NA,,,NA,,biome-specific
577,8894,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,44.81674941,min_dbh,5,,NA,,,NA,,biome-specific
578,8895,8,1097,Chinantla,SNR,,SC,,5,NA,1,NA,0.0947,aboveground_biomass,68.60745301,min_dbh,5,,NA,,,NA,,biome-specific
579,8896,8,1097,Chinantla,SNR,,SC,,6,NA,1,NA,0.0947,aboveground_biomass,76.14274057,min_dbh,5,,NA,,,NA,,biome-specific
