"","measurement.id","plot.id","site.id","study.id","citations.title","sites.sitename","refor.type","species","prior","prior.duration","stand.age","date","n","sub_n","plot.size","variables.name","mean_ha","covar_1","coV1_value","covar_2","coV2_value","covar_3","coV3_value","density","sand.silt.clay","pH","allometry","measurements.notes","X"
"1",561,8878,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",15,NA,1,NA,0.0947,"aboveground_biomass",41.36214602,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"2",562,8879,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",15,NA,1,NA,0.0947,"aboveground_biomass",32.58729761,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"3",563,8880,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",20,NA,1,NA,0.0947,"aboveground_biomass",42.46318368,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"4",564,8881,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",20,NA,1,NA,0.0947,"aboveground_biomass",58.6312691,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"5",565,8882,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",27,NA,1,NA,0.0947,"aboveground_biomass",50.16417057,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"6",566,8883,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",27,NA,1,NA,0.0947,"aboveground_biomass",83.21236974,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"7",567,8884,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",59,NA,1,NA,0.0947,"aboveground_biomass",165.4792534,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"8",568,8885,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",59,NA,1,NA,0.0947,"aboveground_biomass",102.1377779,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"9",569,8886,7,1097,"Biomass resilience of Neotropical secondary forests","Cajueiro","SNR","","PA","",59,NA,1,NA,0.0947,"aboveground_biomass",129.5300076,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
"10",570,8887,8,1097,"Biomass resilience of Neotropical secondary forests","Chinantla","SNR","","SC","",5,NA,1,NA,0.0947,"aboveground_biomass",42.69398397,"min_dbh",5,"",NA,"","",NA,"",NA,"biome-specific","unpublished, from Poorter 2016",NA
