measurement.id,plot.id,site.id,study.id,refor.type,prior,stand.age,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value,ref
1240,109,19,3017,SNR,SC,5,1,3,0.08,SOC,25.6,max_depth,30,min_depth,0,,,site_chrono
1241,110,19,3017,SNR,SC,7,1,3,0.08,SOC,15.1,max_depth,30,min_depth,0,,,site_chrono
1242,111,19,3017,SNR,SC,10,1,3,0.08,SOC,18.6,max_depth,30,min_depth,0,,,site_chrono
1243,112,19,3017,SNR,SC,14,1,3,0.08,SOC,23.4,max_depth,30,min_depth,0,,,site_chrono
1244,113,19,3017,SNR,SC,18,1,3,0.08,SOC,20.6,max_depth,30,min_depth,0,,,site_chrono
1245,114,19,3017,SNR,SC,21,1,3,0.08,SOC,22.9,max_depth,30,min_depth,0,,,site_chrono
1246,115,19,3017,SNR,SC,25,1,3,0.08,SOC,23.3,max_depth,30,min_depth,0,,,site_chrono
1247,116,19,3017,SNR,SC,32,1,3,0.08,SOC,19.4,max_depth,30,min_depth,0,,,site_chrono
1248,118,19,3017,SNR,SC,35,1,3,0.08,SOC,34.7,max_depth,30,min_depth,0,,,site_chrono
1249,119,19,3017,SNR,SC,37,1,3,0.08,SOC,17.8,max_depth,30,min_depth,0,,,site_chrono
1250,120,19,3017,SNR,SC,38,1,3,0.08,SOC,28.6,max_depth,30,min_depth,0,,,site_chrono
1251,121,19,3017,SNR,SC,43,1,3,0.08,SOC,24.4,max_depth,30,min_depth,0,,,site_chrono
1252,122,19,3017,SNR,SC,47,1,3,0.08,SOC,27.1,max_depth,30,min_depth,0,,,site_chrono
1369,126,22,3773,SNR,SC,3,14,8,0.100000001,SOC,38.1,max_depth,10,min_depth,0,,,site_chrono
1376,126,22,3773,SNR,SC,3,14,8,0.100000001,SOC,25.1,max_depth,20,min_depth,10,,,site_chrono
1383,126,22,3773,SNR,SC,3,14,8,0.100000001,SOC,10.3,max_depth,30,min_depth,20,,,site_chrono
1371,127,22,3773,SNR,SC,13,13,8,0.100000001,SOC,38.5,max_depth,10,min_depth,0,,,site_chrono
1378,127,22,3773,SNR,SC,13,13,8,0.100000001,SOC,14.9,max_depth,20,min_depth,10,,,site_chrono
