"","measurement.id","plot.id","site.id","study.id","refor.type","prior","stand.age","variables.name","mean_ha","max_depth","bulk_density"
"1",1240,109,19,3017,"SNR","SC",5,"SOC",25.6,30,NA
"2",1241,110,19,3017,"SNR","SC",7,"SOC",15.1,30,NA
"3",1242,111,19,3017,"SNR","SC",10,"SOC",18.6,30,NA
"4",1243,112,19,3017,"SNR","SC",14,"SOC",23.4,30,NA
"5",1244,113,19,3017,"SNR","SC",18,"SOC",20.6,30,NA
"6",1245,114,19,3017,"SNR","SC",21,"SOC",22.9,30,NA
"7",1246,115,19,3017,"SNR","SC",25,"SOC",23.3,30,NA
"8",1247,116,19,3017,"SNR","SC",32,"SOC",19.4,30,NA
"9",1248,118,19,3017,"SNR","SC",35,"SOC",34.7,30,NA
"10",1249,119,19,3017,"SNR","SC",37,"SOC",17.8,30,NA
"11",1250,120,19,3017,"SNR","SC",38,"SOC",28.6,30,NA
"12",1251,121,19,3017,"SNR","SC",43,"SOC",24.4,30,NA
"13",1252,122,19,3017,"SNR","SC",47,"SOC",27.1,30,NA
"14",1369,126,22,3773,"SNR","SC",3,"SOC",73.5,10,NA
"15",1371,127,22,3773,"SNR","SC",13,"SOC",59.4,10,NA
"16",1374,128,22,3773,"SNR","SC",28,"SOC",81.1,10,NA
"17",1370,137,22,3773,"SNR","SC",8,"SOC",75.5,10,NA
"18",1372,138,22,3773,"SNR","SC",18,"SOC",85.8,10,NA
"19",1373,139,22,3773,"SNR","SC",23,"SOC",78,10,NA
"20",1375,141,22,3773,"SNR","SC",35,"SOC",60.5,20,NA
"21",24,1526,2150,222,"SNR","SC",4.5,"SOC",40.65,10,NA
"22",25,1527,2150,222,"SNR","SC",8,"SOC",53.23,10,NA
"23",26,1528,2150,222,"SNR","SC",15,"SOC",60.97,10,NA
"24",28,1530,2150,222,"C","SC",0,"SOC",62.72,10,NA
"25",59,1533,2405,246,"SNR","SC",2,"soil_perC",6.1,5,NA
"26",63,1534,2405,246,"SNR","SC",3,"soil_perC",5.6,5,NA
"27",68,1535,2405,246,"SNR","SC",4,"soil_perC",9.2,5,NA
"28",69,1536,2405,246,"SNR","SC",5,"soil_perC",11,5,NA
"29",70,1537,2405,246,"SNR","SC",6,"soil_perC",13.4,5,NA
"30",73,1538,2405,246,"SNR","SC",9,"soil_perC",7.7,5,NA
"31",74,1539,2405,246,"SNR","SC",10,"soil_perC",7.7,5,NA
"32",75,1540,2405,246,"SNR","SC",12,"soil_perC",8.9,5,NA
"33",76,1541,2405,246,"SNR","SC",15,"soil_perC",15.1,5,NA
"34",78,1542,2405,246,"SNR","SC",20,"soil_perC",7.8,5,NA
"35",79,1543,2405,246,"SNR","SC",30,"soil_perC",10.7,5,NA
"36",81,1544,2405,246,"SNR","SC",33,"soil_perC",8.4,5,NA
"37",82,1545,2405,246,"SNR","SC",55,"soil_perC",13.1,5,NA
"38",86,1547,2405,246,"C","SC",0,"soil_perC",22.2,5,NA
"39",116,1560,2082,390,"C","C",0,"SOC",33.9,15,NA
"40",117,1561,2082,390,"C","C",0,"SOC",35.7,15,NA
"41",115,1562,2082,390,"C","C",0,"SOC",56.7,15,NA
"42",176,1578,2153,557,"PA","PA",0,"SOC",51.4,30,NA
"43",184,1579,2153,557,"SNR","PA",13,"SOC",62.4,30,NA
"44",187,1580,2153,557,"SNR","PA",20,"SOC",51,30,NA
"45",190,1581,2153,557,"SNR","PA",26,"SOC",33.8,30,NA
"46",191,1582,2153,557,"SNR","PA",30,"SOC",56.2,30,NA
"47",193,1583,2153,557,"SNR","PA",34,"SOC",35.2,30,NA
"48",199,1584,2153,557,"SNR","PA",42,"SOC",56.1,30,NA
"49",200,1585,2153,557,"SNR","PA",47,"SOC",54.2,30,NA
"50",178,1587,2153,557,"PA","PA",0,"SOC",69.6,30,NA
"51",182,1588,2153,557,"SNR","PA",9,"SOC",61,30,NA
"52",183,1589,2153,557,"SNR","PA",12,"SOC",80,30,NA
"53",188,1590,2153,557,"SNR","PA",20,"SOC",96.2,30,NA
"54",189,1591,2153,557,"SNR","PA",23,"SOC",84.7,30,NA
"55",192,1592,2153,557,"SNR","PA",32,"SOC",77.6,30,NA
"56",198,1593,2153,557,"SNR","PA",40,"SOC",90.6,30,NA
"57",204,1594,2153,557,"SNR","PA",68,"SOC",70,30,NA
"58",257,1612,2079,851,"SNR","C",10,"SOC",93,20,NA
"59",267,1613,3858,851,"SNR","C",30,"SOC",119,20,NA
"60",277,1614,3859,851,"SNR","C",50,"SOC",123,20,NA
"61",381,1668,3863,995,"SNR","C",1,"SOC",35.7,10,NA
"62",382,1669,3863,995,"SNR","C",7,"SOC",28.7,10,NA
"63",383,1670,3863,995,"SNR","C",13,"SOC",28.1,10,NA
"64",384,1671,3863,995,"SNR","C",20,"SOC",27.5,10,NA
"65",385,1672,3863,995,"SNR","C",30,"SOC",30.2,10,NA
"66",339,1678,3816,995,"SNR","C",11,"SOC",68.6,10,NA
"67",340,1679,3816,995,"SNR","C",16,"SOC",67,10,NA
"68",341,1680,3816,995,"SNR","C",22,"SOC",63.1,10,NA
"69",342,1681,3816,995,"SNR","C",27,"SOC",69.5,10,NA
"70",343,1682,3816,995,"SNR","C",60,"SOC",80.6,10,NA
"71",344,1683,3816,995,"SNR","C",100,"SOC",87.2,10,NA
"72",820,1708,3821,1222,"SNR","C",10,"SOC",21.6,10,NA
"73",828,1708,3821,1222,"SNR","C",18,"SOC",18.7,10,NA
"74",812,1708,3821,1222,"SNR","C",8,"SOC",18.7,10,NA
"75",836,1710,2302,1394,"SNR","H",20,"soil_perC",8.62,20,NA
"76",837,1711,2302,1394,"SNR","H",35,"soil_perC",6.9,20,NA
"77",863,1725,2077,1599,"C","C",0,"SOC",39.6,5,NA
"78",869,1726,3864,1599,"SNR","C",6,"SOC",48.4,5,NA
"79",875,1727,3865,1599,"SNR","C",16,"SOC",63.6,5,NA
"80",881,1728,3866,1599,"SNR","C",45,"SOC",62.1,5,NA
"81",887,1729,3867,1599,"SNR","C",100,"SOC",61.8,5,NA
"82",60,1734,2405,246,"SNR","SC",2,"soil_perC",12.1,5,NA
"83",61,1735,2405,246,"SNR","SC",2,"soil_perC",8.4,5,NA
"84",62,1736,2405,246,"SNR","SC",2,"soil_perC",10.5,5,NA
"85",64,1737,2405,246,"SNR","SC",3,"soil_perC",7,5,NA
"86",65,1738,2405,246,"SNR","SC",3,"soil_perC",11.7,5,NA
"87",66,1739,2405,246,"SNR","SC",3,"soil_perC",7.2,5,NA
"88",67,1740,2405,246,"SNR","SC",3,"soil_perC",10.5,5,NA
