site.id,study.id,site.sitename,site.state,site.country,lat_dec,long_dec,elevation,AMT,AMP,soil.classification
2112,150,Maquipucuna,,Ecuador,0.083333,-78.616667,1200,18,3198,Andisols
2150,222,Tonaya/El Temazcal,Jalisco,Mexico,19.7,-103.9,990,NA,650,Regosols/Lithosols
2405,246,Upland area between Kinabalu/Crocker Range Park,Sabah,Malaysia,5.993611,116.461944,1150,19.5,2250,NA
3006,270,Siming Mountain,Zhejiang Province,China,29.758333,121.733333,NA,NA,1375,Ferralsols
2082,390,Mulun National Nature Reserve,Guangxi Zhuang Autonomous Region,China,25.15,107.983333,NA,16.9,1675,lithosols
319,414,Tomakomai,Hokkaido,Japan,42.733333,141.516667,125,7.6,1198,regosol
2153,557,Atherton Tablelands,,Australia,-17.425556,145.603611,775,NA,1670,ferrosols/dermosols
2504,661,Matupi,Chin,Myanmar,21.600833,93.449722,900,21,1454,fluvisol
3860,851,Lianjiabian F1,Gansu Province,China,36.036389,108.523056,1450,10,587,NA
3862,851,Lianjiabian F3,Gansu Province,China,36.049444,108.537222,1449,10,587,NA
3861,851,Lianjiabian F2,Gansu Province,China,36.051389,108.542222,1437,10,587,NA
3859,851,Lianjiabian S,Gansu Province,China,36.070556,108.533611,1354,10,587,NA
2079,851,Lianjiabian G1,Gansu Province,China,36.084444,108.526944,1348,10,587,NA
3858,851,Lianjiabian G2,Gansu Province,China,36.085833,108.5275,1365,10,587,NA
2332,856,Tapajós National Forest,Para,Brazil,-3.040833,-54.905278,NA,25,1820,Latosols/Red Yellow Podzolic
3816,995,Lianjiabian Forest Farm chronosequence 3,Gansu Province,China,35.833333,108.733333,1375,7.4,587,NA
3863,995,Zhifanggou watershed chronosequence 1/2,Shaanxi Province,China,36.775,109.25,1255,9.1,503,NA
2385,1000,Bibai,Hokkaido,Japan,43.266667,141.866667,210,6.4,1151,NA
2383,1000,Tohbetsu,Hokkaido,Japan,43.516667,141.633333,370,6.4,1151,NA
2382,1000,Ashibetsu,Hokkaido,Japan,43.616667,142.083333,550,6.4,1151,NA
2386,1000,Okoppe 2,Hokkaido,Japan,44.283333,142.95,190,6.4,1151,NA
2384,1000,Okoppe 1,Hokkaido,Japan,44.35,143.05,200,6.4,1151,NA
3628,1008,Kakamega Forest,,Kenya,0.258333,34.875,1600,25,1750,NA
2016,1026,Tapichalaca,NA,Ecuador,-4.5,-79.1,2250,18.7,1250,NA
2015,1026,Buenaventura,El Oro,Ecuador,-3.7,-79.7,659,22.5,1475,NA
2354,1031,Barangay Gaas,Leyte Island,Philippines,10.424794,123.752959,550,28,4000,Andisols
14,1097,Sao Paulo,NA,Brazil,-22.32,-47.57,NA,NA,1367,NA
15,1097,Serra do Cipo,,Brazil,-19.35,-43.62,NA,NA,1519,NA
7,1097,Cajueiro,,Brazil,-14.98,-43.9,NA,NA,840,NA
11,1097,Marques de Comillas,Chiapas,Mexico,16.33,-90.67,NA,NA,2250,NA
9,1097,Lacandona,,Mexico,16.54,-90.96,NA,NA,2500,NA
16,1097,Zona Norte,,Mexico,17.27,-91.66,NA,NA,2750,NA
8,1097,Chinantla,,Mexico,17.75,-96.65,NA,NA,3700,NA
3821,1222,Kambja,,Estonia,58.233333,26.733333,NA,NA,NA,Glossic-Podzoluviol
2302,1394,Mulinzi National Nature Reserve,Hubei Province,China,30.041667,110.133333,1598,15.5,1733,Alfisols
2175,1436,Moungmouay,Luang Prabang Province,Laos,20.271111,103.048611,600,21,1550,Ultisol
3867,1599,Lianjiabian S4,Gansu Province,China,36.049167,108.528056,1447,7.4,587,NA
2077,1599,Lianjiabian S0,Gansu Province,China,36.074167,108.418056,1482,7.4,587,NA
3865,1599,Lianjiabian S2,Gansu Province,China,36.081111,108.530556,1347,7.4,587,NA
3866,1599,Lianjiabian S3,Gansu Province,China,36.087778,108.529722,1329,7.4,587,NA
3864,1599,Lianjiabian S1,Gansu Province,China,36.088611,108.526667,1410,7.4,587,NA
2110,1636,Itatiaia,Rio de Janeiro,Brazil,-22.466944,-44.581111,NA,NA,NA,Ultisols/Oxisols
2061,1819,Turumã-Mirim 6,Amazonas,Brazil,-2.869266,-60.170369,NA,NA,2200,latosol
2062,1819,Turumã-Mirim 7,Amazonas,Brazil,-2.834068,-60.159102,NA,NA,2200,latosol
2060,1819,Turumã-Mirim 5,Amazonas,Brazil,-2.818505,-60.159235,NA,NA,2200,latosol
2052,1819,Turumã-Mirim 20,Amazonas,Brazil,-2.817045,-60.104481,NA,NA,2200,latosol
2053,1819,Turumã-Mirim 21,Amazonas,Brazil,-2.816963,-60.104897,NA,NA,2200,latosol
2049,1819,Turumã-Mirim 12,Amazonas,Brazil,-2.815155,-60.106359,NA,NA,2200,latosol
2066,1819,Turumã-Mirim 11,Amazonas,Brazil,-2.814336,-60.106469,NA,NA,2200,latosol
2065,1819,Turumã-Mirim 10,Amazonas,Brazil,-2.81284,-60.105894,NA,NA,2200,latosol
2059,1819,Turumã-Mirim 4,Amazonas,Brazil,-2.80602,-60.153937,NA,NA,2200,latosol
2058,1819,Turumã-Mirim 3,Amazonas,Brazil,-2.803794,-60.154151,NA,NA,2200,latosol
2057,1819,Turumã-Mirim 2,Amazonas,Brazil,-2.801333,-60.153363,NA,NA,2200,latosol
2050,1819,Turumã-Mirim 18,Amazonas,Brazil,-2.799004,-60.106674,NA,NA,2200,latosol
2051,1819,Turumã-Mirim 19,Amazonas,Brazil,-2.798581,-60.106514,NA,NA,2200,latosol
2063,1819,Turumã-Mirim 8,Amazonas,Brazil,-2.798048,-60.104611,NA,NA,2200,latosol
2056,1819,Turumã-Mirim 24,Amazonas,Brazil,-2.79738,-60.105455,NA,NA,2200,latosol
2069,1819,Turumã-Mirim 15,Amazonas,Brazil,-2.797307,-60.105431,NA,NA,2200,latosol
2070,1819,Turumã-Mirim 16,Amazonas,Brazil,-2.797022,-60.105893,NA,NA,2200,latosol
2048,1819,Turumã-Mirim 1,Amazonas,Brazil,-2.796569,-60.152554,NA,NA,2200,latosol
2068,1819,Turumã-Mirim 14,Amazonas,Brazil,-2.796306,-60.106016,NA,NA,2200,latosol
2071,1819,Turumã-Mirim 17,Amazonas,Brazil,-2.796158,-60.10586,NA,NA,2200,latosol
2067,1819,Turumã-Mirim 13,Amazonas,Brazil,-2.796142,-60.106183,NA,NA,2200,latosol
2064,1819,Turumã-Mirim 9,Amazonas,Brazil,-2.793297,-60.115588,NA,NA,2200,latosol
2055,1819,Turumã-Mirim 23,Amazonas,Brazil,-2.790535,-60.124866,NA,NA,2200,latosol
2054,1819,Turumã-Mirim 22,Amazonas,Brazil,-2.790398,-60.125875,NA,NA,2200,latosol
385,1879,Guzhou,Guangxi Province,China,24.908333,107.941667,508,19,1380,NA
