"history.ID","sites.sitename","plot.name","plot.area","event.sequence","date","date.loc","hist.cat","hist.type","est.regrowth.assumed.same.year","level","units","percent.mortality","hist.notes","plothistory.ID.v1","X","NEW_RECORD","GROA.site.ID","GROA.plot.ID"
1.01,"4 Rios","Tropical Wet Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","history event derived from plot.name",NA,NA,FALSE,NA,NA
1.02,"4 Rios","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","1",NA,NA,NA,"history event derived from plot.name",NA,NA,FALSE,NA,NA
1.03,"4 Rios","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
19.01,"Alatskivi 2","Forest recovery following agricultural abandonment","NAC",1,"NAC",9,"Disturbance","Cultivation",NA,NA,NA,"100",NA,NA,NA,FALSE,NA,NA
19.02,"Alatskivi 2","Forest recovery following agricultural abandonment","NAC",2,"1977",8,"Regrowth","Initiation of post-disturbance cohort (natural)","1","*",NA,NA,NA,NA,NA,FALSE,NA,NA
19.03,"Alatskivi 2","Forest recovery following agricultural abandonment","NAC",3,"1977",8,"Establishment","Establishment of oldest trees","1","*",NA,NA,NA,NA,NA,FALSE,NA,NA
50.01,"Aleman","Premontane Rain Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","history event derived from plot.name",NA,NA,FALSE,NA,NA
50.02,"Aleman","Premontane Rain Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"history event derived from plot.name",NA,NA,FALSE,NA,NA
50.03,"Aleman","Premontane Rain Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
230.01,"Bebedero","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
230.02,"Bebedero","Tropical Dry Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
230.03,"Bebedero","Tropical Dry Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
260.01,"Bissiga B12","Tree and bush savanna recovery after clear-cut","1",1,"1982",8,"Disturbance","Cut",NA,"100","%","100",NA,2023,NA,FALSE,NA,NA
260.02,"Bissiga B12","Tree and bush savanna recovery after clear-cut","1",2,"1982",8,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,2029,NA,FALSE,NA,NA
260.03,"Bissiga B12","Tree and bush savanna recovery after clear-cut","1",3,"1982",8,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,2232,NA,FALSE,NA,NA
260.04,"Bissiga B12","Tree and bush savanna recovery after clear-cut","1",4,"NI",9,"Disturbance","Grazed",NA,NA,NA,"NI",NA,2017,NA,FALSE,NA,NA
379.01,"Buen Uso","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
379.02,"Buen Uso","Tropical Dry Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
379.03,"Buen Uso","Tropical Dry Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
381.01,"Caballos","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
381.02,"Caballos","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
381.03,"Caballos","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
384.01,"Caliente","Tropical Wet Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
384.02,"Caliente","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
384.03,"Caliente","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
388.01,"Cambronero","Premontane Rain Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
388.02,"Cambronero","Premontane Rain Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
388.03,"Cambronero","Premontane Rain Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
406.01,"Cano","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
406.02,"Cano","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
406.03,"Cano","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
417.01,"Cascada","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
417.02,"Cascada","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
417.03,"Cascada","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
505.01,"Chippewa National Forest chronosequence","14 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
516.01,"Chippewa National Forest chronosequence","31 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
517.01,"Chippewa National Forest chronosequence","37 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
519.01,"Chippewa National Forest chronosequence","48 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
522.01,"Chippewa National Forest chronosequence","64 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
524.01,"Chippewa National Forest chronosequence","74 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
526.01,"Chippewa National Forest chronosequence","83 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
528.01,"Chippewa National Forest chronosequence","94 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
529.01,"Chippewa National Forest chronosequence","99 years","NAC",1,"NAC",9,"No.info","NAC",NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
532.01,"Chonco","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
532.02,"Chonco","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
532.03,"Chonco","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
535.01,"Chupadero","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
535.02,"Chupadero","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
535.03,"Chupadero","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
546.01,"Con Permiso","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
546.02,"Con Permiso","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
546.03,"Con Permiso","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
558.01,"Cornelio","Premontane Rain Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
558.02,"Cornelio","Premontane Rain Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
558.03,"Cornelio","Premontane Rain Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
570.01,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
570.02,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
570.03,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
640.01,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
640.02,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
640.03,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
665.01,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
665.02,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
665.03,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
688.01,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
688.02,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
688.03,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
693.01,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
693.02,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
693.03,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
694.01,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
694.02,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
694.03,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
695.01,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
695.02,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
695.03,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
738.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1655,NA,FALSE,NA,NA
738.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",2,"2002",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1661,NA,FALSE,NA,NA
738.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",3,"2002",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1666,NA,FALSE,NA,NA
738.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",4,"2002.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1671,NA,FALSE,NA,NA
738.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",5,"2002.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1676,NA,FALSE,NA,NA
738.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",6,"2002.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1681,NA,FALSE,NA,NA
739.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1658,NA,FALSE,NA,NA
739.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",2,"1989",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1664,NA,FALSE,NA,NA
