"measurement.ID","sites.sitename","plot.name","stand.age","dominant.life.form","dominant.veg","scientific.name","veg.notes","variable.name","date","date.loc","start.date","start.date.loc","end.date","end.date.loc","mean","n","stat.name","stat","area.sampled","notes","method.ID","allometry_1","allometry_2","min.dbh","depth","covariate_1","coV_1.value","covariate_2","coV_2.value","conflicts","R.group","S.group","D.group","D.precedence","conflict.type","conflicts.notes","citation.ID","loaded.from","source.notes","measurement.ID.v1","loaded.by","checked.ori.pub","ForC.investigator","required.citations","flag.suspicious","NEW_RECORD","coV1_value","coV_1.value.1","coV2_value"
17593,"Maquipucuna","regrowth stand regenerating via spontaneous natural regeneration","17","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,14.87,"1",NA,NA,"0.05","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myster_2017_gevd",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,10,NA,NA
17594,"Maquipucuna","regrowth stand regenerating via spontaneous natural regeneration","17","woody","NAC",NA,NA,"stand.density","2011",8,NA,9,NA,9,300,"1",NA,NA,"0.05","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myster_2017_gevd",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,10,NA,NA
17595,"Tonaya/El Temazcal","regrowth stand regenerating via spontaneous natural regeneration","4.5","woody","NAC",NA,NA,"biomass_ag_OM","2013",8,NA,9,NA,9,12.9,"8",NA,NA,"0.32","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salinas-Melgoza_2017_cefd",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,2.5,NA,NA
17596,"Tonaya/El Temazcal","regrowth stand regenerating via spontaneous natural regeneration","4.5","woody","NAC",NA,NA,"stand.density","2013",8,NA,9,NA,9,2278,"8",NA,NA,"0.32","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salinas-Melgoza_2017_cefd",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,2.5,NA,NA
17597,"Upland area between Kinabalu/Crocker Range Park","regrowth stand regenerating via spontaneous natural regeneration","2","woody","NAC",NA,NA,"biomass_ag_OM","2013",8,NA,9,NA,9,4.1,"1",NA,NA,"0.04","Biomass allometries: biome-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fujiki_2017_pcae",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,1,NA,NA
17598,"Siming Mountain","regrowth stand regenerating via spontaneous natural regeneration","15","woody","NAC",NA,NA,"biomass_ag_OM","NI",9,NA,9,NA,9,20.65,"1",NA,NA,"0.04","Biomass allometries: biome-specific; site-specific.",NA,"NAC",NA,NA,"NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ali_2017_cmol",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,0,NA,NA
17599,"Tomakomai","regrowth stand regenerating via spontaneous natural regeneration","2","woody","NAC",NA,NA,"biomass_root_OM","2006",8,NA,9,NA,9,3.01,"1",NA,NA,"0.01","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yazaki_2016_baan",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17600,"Tomakomai","regrowth stand regenerating via spontaneous natural regeneration","2","woody","NAC",NA,NA,"biomass_ag_understory_OM","2006",8,NA,9,NA,9,3.01,"1",NA,NA,"0.01","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC","max_height","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yazaki_2016_baan",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17601,"Tomakomai","regrowth stand regenerating via spontaneous natural regeneration","7","woody","NAC",NA,NA,"biomass_ag_OM","2011",8,NA,9,NA,9,0.45,"1",NA,NA,"0.01","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC","min_height","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yazaki_2016_baan",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
17602,"Tomakomai","regrowth stand regenerating via spontaneous natural regeneration","7","woody","NAC",NA,NA,"stand.density","2011",8,NA,9,NA,9,3190,"1",NA,NA,"0.01","Biomass allometries: site-specific harvest.",NA,"NAC",NA,"NAC","NAC","min_height","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yazaki_2016_baan",NA,NA,NA,"R script by Valentine Herrmann",1,"Dr. Susan Cook-Patton","[Cook-Patton database citation, in ForC format]",0,TRUE,NA,NA,NA
