"plot.id","sites.sitename","plot.name","plot.area","establishment.ID","year.establishment.oldest.trees","regrowth.ID","regrowth.type","regrowth.year","dist.mrs.ID","distmrs.type","mortality","distmrs.yr","dist.additional.mrs.ID","prior.history.ID","dist1.ID","dist1.type","dist1.mort","dist1.year","dist2.ID","dist2.type","dist2.mort","dist2.year","additional.dist.ID","management.CO2.ID","management.temperature.ID","management.hydrology.ID","management.nutrients.ID","management.biota.ID","management.other.ID"
1,"4 Rios","Tropical Wet Forest recovery following pasture abandonment","NAC",1.03,"NI",1.02,"Initiation of post-disturbance cohort (natural)","NI",1.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
19,"Alatskivi 2","Forest recovery following agricultural abandonment","NAC",19.03,"1977",19.02,"Initiation of post-disturbance cohort (natural)","1977",19.01,"Cultivation","100","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
50,"Aleman","Premontane Rain Forest recovery following pasture abandonment","NAC",50.03,"NI",50.02,"Initiation of post-disturbance cohort (natural)","NI",50.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
230,"Bebedero","Tropical Dry Forest recovery following pasture abandonment","NAC",230.03,"NI",230.02,"Initiation of post-disturbance cohort (natural)","NI",230.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
260,"Bissiga B12","Tree and bush savanna recovery after clear-cut","1",260.03,"1982",260.02,"Initiation of post-disturbance cohort (natural)","1982",260.01,"Cut","100","1982",0,0,260.04,"Grazed","NI","NI",0,NA,NA,NA,0,0,0,0,0,0,0
379,"Buen Uso","Tropical Dry Forest recovery following pasture abandonment","NAC",379.03,"NI",379.02,"Initiation of post-disturbance cohort (natural)","NI",379.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
381,"Caballos","Tropical Moist Forest recovery following pasture abandonment","NAC",381.03,"NI",381.02,"Initiation of post-disturbance cohort (natural)","NI",381.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
384,"Caliente","Tropical Wet Forest recovery following pasture abandonment","NAC",384.03,"NI",384.02,"Initiation of post-disturbance cohort (natural)","NI",384.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
388,"Cambronero","Premontane Rain Forest recovery following pasture abandonment","NAC",388.03,"NI",388.02,"Initiation of post-disturbance cohort (natural)","NI",388.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
406,"Cano","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",406.03,"NI",406.02,"Initiation of post-disturbance cohort (natural)","NI",406.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
417,"Cascada","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",417.03,"NI",417.02,"Initiation of post-disturbance cohort (natural)","NI",417.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
505,"Chippewa National Forest chronosequence","14 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
516,"Chippewa National Forest chronosequence","31 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
517,"Chippewa National Forest chronosequence","37 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
519,"Chippewa National Forest chronosequence","48 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
522,"Chippewa National Forest chronosequence","64 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
524,"Chippewa National Forest chronosequence","74 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
526,"Chippewa National Forest chronosequence","83 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
528,"Chippewa National Forest chronosequence","94 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
529,"Chippewa National Forest chronosequence","99 years","NAC",0,"NAC",0,"NAC","NAC",0,"NAC",NA,"NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
532,"Chonco","Tropical Moist Forest recovery following pasture abandonment","NAC",532.03,"NI",532.02,"Initiation of post-disturbance cohort (natural)","NI",532.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
535,"Chupadero","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",535.03,"NI",535.02,"Initiation of post-disturbance cohort (natural)","NI",535.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
546,"Con Permiso","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",546.03,"NI",546.02,"Initiation of post-disturbance cohort (natural)","NI",546.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
558,"Cornelio","Premontane Rain Forest recovery following pasture abandonment","NAC",558.03,"NI",558.02,"Initiation of post-disturbance cohort (natural)","NI",558.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
570,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",570.03,"NI",570.02,"Initiation of post-disturbance cohort (natural)","NI",570.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
640,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",640.03,"NI",640.02,"Initiation of post-disturbance cohort (natural)","NI",640.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
665,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",665.03,"NI",665.02,"Initiation of post-disturbance cohort (natural)","NI",665.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
688,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",688.03,"NI",688.02,"Initiation of post-disturbance cohort (natural)","NI",688.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
693,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",693.03,"NI",693.02,"Initiation of post-disturbance cohort (natural)","NI",693.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
694,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",694.03,"NI",694.02,"Initiation of post-disturbance cohort (natural)","NI",694.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
