"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","GROA.site.ID"
1,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"248",NA,"24.2","NAC","NAC","3967",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,1,"North America","Am","Tropical rainforest",1301,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,13943
19,"Alatskivi 2",NA,NA,"","NAC","Tartu","Estonia",58.617,27.03,"NAC",NA,"5.4","NAC","NAC","675",NA,"sandy loam","NAC","NAC","NAC","Gleyic Umbrisol","Gleyic Umbrisol",NA,NA,2,"Europe","Dfb","Temperate continental forest",NA,"Uri_2012_bpac",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,2042
50,"Aleman",NA,NA,"","NAC","Alajuela","Costa Rica",10.3019,-84.7408,"962",NA,"21.6","NAC","NAC","5800",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,3,"North America","Aw","Tropical rainforest",1306,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,13948
85,"Araracuara",NA,NA,"","NAC","Amazonas","Colombia",-0.63,-72.37,"NAC",NA,"25.5","NAC","NAC","2998",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,4,"South America","Af","Tropical rainforest",131,"Overman_1994_eorm",NA,NA,NA,"Keith_2009_rofb; Liu_2014_htpa",NA,0,"0",NA,NA,"",FALSE,NA
87,"Arroyo Negro",NA,NA,"","Yucatan","Campeche","Mexico",17.883,-89.283,"NAC",NA,"25","NAC","NAC","1418",NA,"NAC","NAC","NAC","NAC","NAC","Regionally, soils are shallow, calcareous, and highly permeable due to organic matter content and under- lying limestone bedrock.","NAC",NA,5,"North America","Aw","Tropical moist forest",338,"Read_2003_robf",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,295
160,"Bebedero",NA,NA,"","NAC","Guanacaste","Costa Rica",10.8883,-85.6,"280",NA,"25.9","NAC","NAC","1613",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,6,"North America","Aw","Tropical dry forest",1261,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"1","1",NA,"",FALSE,13902
186,"Bissiga B12",NA,NA,"","NAC","Oubritenga","Burkina Faso",12.6833,-1.1667,"300",NA,"NAC","16","40","632","dry season 5-7 months","NAC","NAC","NAC","NAC","ferric luvisol","ferric luvisol, ferruginous","NAC",NA,7,"Africa","BSh","Tropical dry forest",322,"Nygard_2004_wyis",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,345
286,"Buen Uso",NA,NA,"","NAC","Guanacaste","Costa Rica",10.8393,-85.6152,"321",NA,"25.7","NAC","NAC","1556",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,6,"North America","Aw","Tropical moist forest",1268,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"2","1",NA,"",FALSE,13910
288,"Caballos",NA,NA,"","NAC","San Jose","Costa Rica",9.8446,-84.5281,"132",NA,"27.1","NAC","NAC","2900",NA,"NAC","NAC","NAC","NAC","Alfisol",NA,"NAC",NA,8,"North America","Am","Tropical moist forest",1272,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,13914
291,"Caliente",NA,NA,"","NAC","Puntarenas","Costa Rica",8.4053,-83.3372,"74",NA,"27","NAC","NAC","4300",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,9,"North America","Af","Tropical rainforest",1302,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,13944
295,"Cambronero",NA,NA,"","NAC","Alajuela","Costa Rica",10.2989,-84.7665,"1200",NA,"20.1","NAC","NAC","5300",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,3,"North America","Aw","Tropical mountain system",1310,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,13952
311,"Cano",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4214,-84.1618,"224",NA,"24.3","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,1,"North America","Am","Tropical rainforest",1285,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,13927
324,"Cascada",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3948,-83.9868,"92",NA,"25.1","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,1,"North America","Af","Tropical rainforest",1290,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,13932
370,"Chajul",NA,NA,"","NAC","Quiche","Mexico",16.017,-90.917,"NAC",NA,"NAC","NAC","NAC","2849",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,10,"North America","Aw","Tropical rainforest",1360,"Poorter_2015_decs",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA
