"FROM","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","OLD_RECORD"
"ForC",1,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"248",NA,"24.2","NAC","NAC","3967",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1301,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,FALSE
"GROA",2561,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"248",NA,"24.2","NAC","NAC","3967",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13943",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2234,"Agua Salud",NA,NA,NA,"NAC","","Panama",9.216667,-79.783333,"NAC",NA,"NAC","NAC","NAC","2700",NA,"silty clay, clay","NaN","NaN","NaN","oxisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 243",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2302,"Agua Salud",NA,NA,NA,"NAC","","Panama",9.207778,-79.748056,"330",NA,"27","NAC","NAC","2300",NA,"silty clay, clay","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2164",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2521,"Agua Salud",NA,NA,NA,"NAC","","Panama",9.216667,-79.783333,"330",NA,"NAC","NAC","NAC","2700",NA,"silty clay, clay","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 243",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",19,"Alatskivi 2",NA,NA,"","NAC","Tartu","Estonia",58.617,27.03,"NAC",NA,"5.4","NAC","NAC","675",NA,"sandy loam","NAC","NAC","NAC","Gleyic Umbrisol","Gleyic Umbrisol",NA,NA,"15","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2599,"Alatskivi 2",NA,NA,NA,"NAC","Tartu","Estonia",58.616667,27.033333,"NAC",NA,"5.4","NAC","NAC","675",NA,"sandy loam","NaN","NaN","NaN","Gleyic Umbrisol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2042",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",50,"Aleman",NA,NA,"","NAC","Alajuela","Costa Rica",10.3019,-84.7408,"962",NA,"21.6","NAC","NAC","5800",NA,"NAC","NAC","NAC","NAC","Andisol",NA,"NAC",NA,"32","Neotropics","Aw","Tropical rainforest",1306,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2560,"Aleman",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.3019,-84.7408,"962",NA,"21.6","NAC","NAC","5800",NA,"","NaN","NaN","NaN","Andisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13948",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",85,"Araracuara",NA,NA,"","NAC","Amazonas","Colombia",-0.63,-72.37,"NAC",NA,"25.5","NAC","NAC","2998",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"42","Neotropics","Af","Tropical rainforest",131,"Overman_1994_eorm",NA,NA,NA,"Keith_2009_rofb; Liu_2014_htpa",NA,0,"0",NA,NA,"",FALSE,FALSE
