GROA.site.ID,is.duplicate.of.ForC.site.ID,is.independent.of.ForC.site.ID
3821,862,NA
286,596,NA
3577,NA,1555
295,87,NA
294,1324,NA
293,563,NA
40,NA,1333
2403,NA,526
314,1168,NA
2417,563,NA
291,NA,2129
291,NA,2183
286,596,NA
314,1168,NA
286,596,NA
2261,1050,NA
295,87,NA
294,1324,NA
10,NA,1138
2261,1050,NA
286,596,NA
284,1533,NA
285,1530,NA
3507,879,NA
100,1142,NA
3817,1142,NA
59,NA,85
61,NA,370
2350,878,NA
274,1531,NA
277,1428,NA
277,2110,NA
277,1428,NA
277,2110,NA
255,2018,NA
307,1161,NA
2393,1400,NA
274,1588,NA
2250,2008,NA
3902,1138,NA
3902,1138,NA
13973,NA,830
