"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","GROA.site.ID","OLD_RECORD"
1,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"248",NA,"24.2","NAC","NAC","3967",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1301,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2561,"4 Rios",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3888,-84.1327,"248",NA,"24.2","NAC","NAC","3967",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13943,FALSE
311,"Cano",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4214,-84.1618,"224",NA,"24.3","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1285,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2566,"Cano",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4214,-84.1618,"224",NA,"24.3","NAC","NAC","3900",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13927,FALSE
324,"Cascada",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3948,-83.9868,"92",NA,"25.1","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",1290,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2562,"Cascada",NA,NA,NA,"NAC","Heredia","Costa Rica",10.3948,-83.9868,"92",NA,"25.1","NAC","NAC","3900",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13932,FALSE
413,"Con Permiso",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.4556,-84.1763,"141",NA,"24.8","NAC","NAC","3800",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1287,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2573,"Con Permiso",NA,NA,NA,"NAC","Alajuela","Costa Rica",10.4556,-84.1763,"141",NA,"24.8","NAC","NAC","3800",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13929,FALSE
431,"Culebra",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4248,-84.0965,"158",NA,"24.7","NAC","NAC","3942",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1295,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2567,"Culebra",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4248,-84.0965,"158",NA,"24.7","NAC","NAC","3942",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13937,FALSE
528,"Don Juan",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4553,-84.0665,"143",NA,"24.8","NAC","NAC","3967",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1297,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2572,"Don Juan",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4553,-84.0665,"143",NA,"24.8","NAC","NAC","3967",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13939,FALSE
697,"Guaria Annex at La Selva",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.445,-84.025,"50","ori coords (10 26N, 86 59W) fell in ocean. Used best judgment to obtain new coords","24","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Inceptisol","Fluventic Dystropepts from volcanic alluvium. Deep, well drained, stone-free, acid, with low-medium organic matter before planting","NAC",NA,"1","Neotropics","Am","Tropical rainforest",299,"Montagnini_2000_aiab",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
2501,"La Selva",NA,NA,NA,"NAC","Sarapiqui","Costa Rica",10.433333,-84,"120",NA,"26","NAC","NAC","3800",NA,"","NaN","NaN","NaN","Inceptisols, Ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,2113,FALSE
4319,"La Selva",NA,NA,NA,"NAC","","Costa Rica",10.433333,-83.983333,"93",NA,"24","NAC","NAC","3800",NA,"","NaN","NaN","NaN","andept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,3907,FALSE
4320,"La Selva",NA,NA,NA,"NAC","Heredia","Costa Rica",10.433333,-83.983333,"NAC",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Roth_1994_laop",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,5577,FALSE
963,"La Selva (Russell)",NA,NA,"La Selva","NAC","Heredia","Costa Rica",10.43,-83.98,"71.5","elevation range: 44-89","25.8","NAC","NAC","3960",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",1379,"Russell_2010_ioit",NA,"Russell et al. 2010 [83]",NA,"Malhi_2011_taoe",NA,1,"1","1",NA,"four blocks of twelve 0.5ha plots (48 0.25ha plots total), plus four 14x8m plots in abandoned pasture between Blocks 1 and 4 for reference",FALSE,NA,NA
964,"La Selva Biological Station",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-83.98,"85",NA,"24.75","NAC","NAC","4250",NA,"clay loam","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",294,"Clark_2013_ntfl; Davidson_2002_bcai",NA,"Clark_1998",NA,NA,NA,1,"1","0",NA,"",FALSE,NA,NA
965,"La Selva Biological Station.CARBONO project",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.423333,-84.021111,"115",NA,"24.6","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Ultisol; Inceptisol","Soils range from relatively fertile Inceptisols in riverine areas to low pH, low phosphorus Ultisols in upland area.","NAC",NA,"1","Neotropics","Am","Tropical rainforest",293,"Loescher_2003_econ; Clark_2000_lvif",NA,NA,NA,NA,NA,1,"1","1",NA,"18 0.5ha plots",FALSE,NA,NA
966,"La Selva Biological Station.OTS plots",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-83.983333,"90",NA,"24","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",292,"Clark_2000_lvif",NA,"Lieberman and Lieberman 1987; Lieberman and Lieberman 1994",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,1,"1","1",NA,"three 4ha plots",FALSE,NA,NA
967,"La Selva Biological Station.Vegetation map plots",NA,NA,"La Selva","Puerto Viejo de Sarapapiqui","Heredia","Costa Rica",10.43,-84,"94",NA,"26","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",291,"Clark_2000_lvif",NA,"Clark_1998",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,1,"1","1",NA,"1170 0.1ha plots spaced on a regular grid",FALSE,NA,NA
1426,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1289,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2569,"Pao",NA,NA,NA,"NAC","Heredia","Costa Rica",10.431,-84.0157,"65",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13931,FALSE
1558,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"NAC","NAC","NAC","NAC","Inceptisol",NA,"NAC",NA,"1","Neotropics","Am","Tropical rainforest",1291,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,1,"1","1",NA,"",FALSE,NA,NA
2564,"Sabalo",NA,NA,NA,"NAC","Heredia","Costa Rica",10.4165,-84.0029,"74",NA,"25.2","NAC","NAC","3892",NA,"","NaN","NaN","NaN"," Inceptisol  ",NA,NA,NA,NA,NA,NA,NA,NA,"Cifuentes-Jara_2008_abae",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,13933,FALSE
2349,"Sarapiqui",NA,NA,NA,"NAC","Heredia","Costa Rica",10.43,-83.98,"120",NA,"26.5","NAC","NAC","3900",NA,"","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,"Letcher_2009_rrob",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,39,FALSE
2594,"Sarapiqui (Chazdon)",NA,NA,NA,"NAC","","Costa Rica",10.43,-83.98,"NAC",NA,"25.8","NAC","NAC","3962",NA,"","NaN","NaN","NaN","Ultisols",NA,NA,NA,NA,NA,NA,NA,NA,"Chazdon_2005_eoca",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",1,"1",NA,NA,NA,TRUE,67,FALSE
1610,"Sarapiqui region chronosequence following pasture abandonment",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"90","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",295,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
1611,"Sarapiqui region chronosequence following rice paddy abandonment",NA,NA,NA,"Sarapiqui","Heredia","Costa Rica",10.433,-83.983,"75","masl = average of elev of different aged sites in Letcher 2009 SuppTable","26.5","NAC","NAC","3900",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"1","Neotropics","Af","Tropical rainforest",296,"Letcher_2009_rrob",NA,NA,NA,NA,NA,1,"1","1",NA,"",FALSE,NA,NA
