"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","GROA.site.ID","OLD_RECORD"
1438,"Parque Nacional Palo Verde: area de Conservacion Tempisque",NA,NA,"","Palo Verde","Guanacaste","Costa Rica",10.383618,-85.334663,"NAC","Original coordinates (10.583, -85.583) not in Palo Verde. Original pub does not have coords. Replaced with coords from Google Maps for Parque Nacional Palo Verde","25","NAC","NAC","1444",NA,"NAC","NAC","NAC","NAC","NAC","Developed from alluvial areas along the floodplain and wetlands of the Tempisque River and the eroding limestone hills.","NAC",NA,"604","Neotropics","Aw","Tropical moist forest",290,"Becknell_2014_saas",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
6639,"Parque Nacional Palo Verde: area de Conservacion Tempisque",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.383618,-85.334663,"NAC",NA,"NAC","NAC","NAC","1444",NA,"36.33.31","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Becknell_2014_saas",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,304,FALSE
1268,"Molienda slash-and-burned forest recovery chronosequence",NA,NA,"","Bolpebra","Pando","Bolivia",-11.441,-69.158,"NAC",NA,"24.78","NAC","NAC","1800",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"538","Neotropics","Am","Tropical rainforest",38,"Broadbent_2014_isas","",NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
7124,"Molienda slash-and-burned forest recovery chronosequence",NA,NA,NA,"NAC","Pando","Bolivia",-11.441111,-69.158333,"NAC",NA,"NAC","NAC","NAC","1800",NA,"50.32.17","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Broadbent_2014_isas",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,19,FALSE
100,"Bago Mountain swidden cultivation fallows chronosequence",NA,NA,"","Karen","Bago","Myanmar",18.875,95.891,"350",NA,"27","NAC","NAC","1900",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"53","IndoMalay","Aw","Tropical rainforest",385,"Chan_2013_eoam",NA,NA,NA,NA,NA,19,"1","0",NA,"need to return to two original refs",FALSE,NA,NA
8279,"Bago Mountain swidden cultivation fallows chronosequence",NA,NA,NA,"NAC","Bago","Myanmar",18.875,95.875,"350",NA,"27","NAC","NAC","1900",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2013_eoam",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,310,FALSE
396,"Chippewa National Forest chronosequence",NA,NA,"","Deep River","Minnesota","United States of America",47.341,-94.207,"NAC",NA,"3","NAC","NAC","700",NA,"sand","NAC","NAC","NAC","NAC",NA,NA,NA,"168","Nearctic","Dfb","Temperate continental forest",NA,"Powers_2012_csaa",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
13499,"Chippewa National Forest chronosequence",NA,NA,NA,"NAC","Minnesota","United States",47.341,-94.207,"NAC",NA,"3.9","NAC","NAC","700",NA,"sandy","NaN","NaN","NaN","Entisols",NA,NA,NA,NA,NA,NA,NA,NA,"Powers_2012_csaa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3575,FALSE
1322,"Niah River Chronosequence III",NA,NA,"","NAC","Sarawak","Malaysia",3.583,113.583,"NAC",NA,"26.57","NAC","NAC","3749",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"559","IndoMalay","Af","Tropical rainforest",184,"Jepsen_2006_acsi",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
37952,"Niah River Chronosequence III",NA,NA,NA,"NAC","Sarawak","Malaysia",3.583333,113.583333,"NAC",NA,"26.57","NAC","NAC","3749",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Jepsen_2006_acsi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,303,FALSE
1142,"Luquillo Experimental Forest",NA,NA,"Luquillo","El Verde","Puerto Rico","United States of America",18.3,-65.8,"500","lat-long estimated from map in paper and google maps; more precise value may be possible. See Luyssaert?","22.3","NAC","NAC","3760",NA,"clay","NAC","NAC","NAC","NAC",NA,"NAC","Secondary tabonuco forest","81","Neotropics","Am","Tropical mountain system",356,"Crow_1980_arca",NA,NA,NA,"Anderson_2006_toba",NA,38,"1,2","NAC",NA,"",FALSE,NA,NA
45539,"Luquillo Experimental Forest",NA,NA,NA,"NAC","Puerto Rico","United States",18.3,-65.833333,"400",NA,"22.3","NAC","NAC","3920",NA,"25.41.35","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,"Crow_1980_arca",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2414,FALSE
870,"Kembera",NA,NA,"","NAC","West Kalimantan","Indonesia",-0.4,110.1,"350",NA,"NAC","NAC","NAC","3608",NA,"NAC","NAC","NAC","NAC","Ultisol/Oxisol",NA,"NAC",NA,"375","IndoMalay","Af","Tropical rainforest",1231,"Lawrence_2005_baay",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,NA,NA
46725,"Kembera",NA,NA,NA,"NAC","West Kalimantan","Indonesia",-0.4,110.1,"350",NA,"NAC","NAC","NAC","4000",NA,"NAC","NAC","NAC","NAC","Ultisol/Oxisol",NA,NA,NA,NA,NA,NA,NA,NA,"Lawrence_2005_baay",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2236,FALSE
1871,"University of Michigan Biological Station burn and clearcut experimental plots",NA,NA,"University of Michigan Biological Station (UMBS)","NAC","Michigan","United States of America",45.57,-84.7,"NAC",NA,"5.4","NAC","NAC","820",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"360","Nearctic","Dfb","Temperate continental forest",NA,"White_2004_baas",NA,NA,NA,"Anderson_2006_toba",NA,296,"1",NA,NA,"",FALSE,NA,NA
50069,"University of Michigan Biological Station burn and clearcut experimental plots",NA,NA,NA,"NAC","Michigan","United States",45.566667,-84.7,"NAC",NA,"6.2","NAC","NAC","820",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"White_2004_baas",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3625,FALSE
1447,"Pifo Polylepis Forest",NA,NA,"","NAC","Pichincha","Ecuador",-0.233,-78.25,"3900",NA,"6.6","NAC","NAC","1500",NA,"NAC","NAC","NAC","NAC","NAC","Soils are formed in young volcanic ashes that are high in biotite and were deposited 330 years ago by the last major eruption of the Cotopaxi volcano, which did not reach the Oyacachi area (Hall","NAC",NA,"598","Neotropics","Cfb","Tropical mountain system",129,"Fehse_2002_hats",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
60485,"Pifo Polylepis Forest",NA,NA,NA,"NAC","Pichincha","Ecuador",-0.233,-78.25,"3600",NA,"6.6","NAC","NAC","1500",NA,"","NaN","NaN","NaN","Young volcanic ashes",NA,NA,NA,NA,NA,NA,NA,NA,"Fehse_2002_hats",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,290,FALSE
1978,"Wind River Ranger District chronosequence: clear-cut",NA,NA,"Wind River","NAC","Washington","United States of America",45.82,-121.97,"767.5",NA,"9.02499","NAC","NAC","2500",NA,"NAC","NAC","NAC","NAC","Inceptisol","Soils are classified as well-drained Stabler series Andic Haplumbrept derived from recent volcanic tephra.",NA,NA,"439","Nearctic","Csb","Temperate mountain system",NA,"Janisch_2002_scil",NA,NA,NA,"Anderson_2006_toba",NA,205,"1",NA,NA,"",FALSE,NA,NA
61859,"Wind River Ranger District chronosequence: clear-cut",NA,NA,NA,"NAC","Washington","United States",45.816667,-121.966667,"560",NA,"8.7","NAC","NAC","2500",NA,"","NaN","NaN","NaN","Andic Haplumbrept",NA,NA,NA,NA,NA,NA,NA,NA,"Janisch_2002_scil",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3535,FALSE
800,"J.M. Tucker Amazonian Brazil chronosequence",NA,NA,"","NAC","Para","Brazil",-1.25,-46.75,"NAC",NA,"25.375","NAC","NAC","2841",NA,"sand","NAC","NAC","NAC","NAC",NA,"NAC",NA,"341","Neotropics","Am","Tropical rainforest",117,"Zarin_2001_pbai",NA,"J.M. Tucker unpublished data",NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,NA,NA
62552,"J.M. Tucker Amazonian Brazil chronosequence",NA,NA,NA,"NAC","Para","Brazil",-1.25,-46.75,"NAC",NA,"NAC","NAC","NAC","2841",NA,"sandy","NaN","NaN","NaN","Oxisols",NA,NA,NA,NA,NA,NA,NA,NA,"Zarin_2001_pbai",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,273,FALSE
1747,"Surutu",NA,NA,"","NAC","Santa Cruz","Bolivia",-17.5,-63.5,"NAC",NA,"23","NAC","NAC","1600",NA,"NAC","NAC","NAC","NAC","Inceptisol","Stands surveyed in the alluvial zone were on dystric and vertic eutro- chrepts. The soils of the uplands are mostly quartzipsammentic haplothorps on dissected terraces to the north and typic paleudults on the piedmont to the southwest.","NAC",NA,"727","Neotropics","Aw","Tropical moist forest",17,"Steininger_2000_sfsa",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,NA,NA
66435,"Surutu",NA,NA,NA,"NAC","Santa Cruz","Bolivia",-17.5,-63.5,"NAC",NA,"23","NAC","NAC","1600",NA,"NAC","NAC","NAC","NAC","Ultisols, Eutrochrepts",NA,NA,NA,NA,NA,NA,NA,NA,"Steininger_2000_sfsa",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,54,FALSE
272,"Brazilian Lower Amazon land use and fire recovery age sequence",NA,NA,"","Santarem","Para","Brazil",-3.25,-52.25,"NAC",NA,"25.30833356","NAC","NAC","2225",NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,"106","Neotropics","Am","Tropical rainforest",71,"Sorrensen_2000_lslu",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,NA,NA
68604,"Brazilian Lower Amazon land use and fire recovery age sequence",NA,NA,NA,"NAC","Para","Brazil",-3.25,-52.25,"NAC",NA,"25","NAC","NAC","2000",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Sorrensen_2000_lslu",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,269,FALSE
1740,"Subtropical broad-leaved evergreen forest chronosequence",NA,NA,"","Shanghai","Zhejiang","China",29.46,121.66,"475","Original coordinates (29.5, 121.5) in ocean. Obtained approximate coordinates from GoogleMaps.","18","5","29","1800",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"724","IndoMalay","Cfa","Subtropical humid forest",NA,"Li_1999_ssit",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,NA,NA
70070,"Subtropical broad-leaved evergreen forest chronosequence",NA,NA,NA,"NAC","Zhejiang","China",29.46,121.66,"475",NA,"18","NAC","NAC","1500",NA,"","NaN","NaN","NaN","Ultisols",NA,NA,NA,NA,NA,NA,NA,NA,"Li_1999_ssit",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3650,FALSE
1683,"Sipitang",NA,NA,"","NAC","Sabah","Malaysia",5.0792,115.5508,"700",NA,"NAC","NAC","NAC","3352",NA,"NAC","NAC","NAC","NAC","Haplic acrisol",NA,"NAC",NA,"704","IndoMalay","Af","Tropical rainforest",1259,"Nykvist_1996_rosv",NA,NA,NA,"Bonner_2013_amgc",NA,0,"0",NA,NA,"",FALSE,NA,NA
72299,"Sipitang",NA,NA,NA,"NAC","Sabah","Malaysia",5,115.083333,"700",NA,"NAC","NAC","NAC","3352",NA,"","NaN","NaN","NaN","Haplic acrisol",NA,NA,NA,NA,NA,NA,NA,NA,"Nykvist_1996_rosv",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3623,FALSE
1337,"Northeast India fallow field chronosequence",NA,NA,"","Burnihat","Meghalaya","India",26,91.083333,"100",NA,"25.3","12","32","2200",NA,"clay","NAC","NAC","NAC","Oxisol","Red loamy laterite (oxisol) derived from metamorphic rocks. pH of 7.",NA,NA,"567","IndoMalay","Cwa","Tropical moist forest",NA,"Toky_1983_ssfs",NA,NA,NA,"Anderson_2006_toba",NA,0,"0",NA,NA,"",FALSE,NA,NA
81974,"Northeast India fallow field chronosequence",NA,NA,NA,"NAC","Meghalaya","India",26,91.083333,"100",NA,"NAC","NAC","NAC","2200",NA,"loam","NaN","NaN","NaN","oxisols",NA,NA,NA,NA,NA,NA,NA,NA,"Toky_1983_ssfs",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,3716,FALSE
559,"El Eden Ecological Reserve fire chronosequence",NA,NA,"","NAC","Quintana Roo","Mexico",21.216667,-87.183333,"6",NA,"24.2","NAC","NAC","1650",NA,"NAC","NAC","NAC","NAC","NAC","limestone bedrock","NAC","2500ha protected; 800ha mature forest, remaining is secondary","236","Neotropics","Aw","Tropical moist forest",384,"Vargas_2008_baca",NA,"Gomez-Pompa 2003",NA,NA,NA,0,"0",NA,NA,"",FALSE,NA,NA
